,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,fielder_2,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,is_strike,pitch_count,plate_-x,pfx_-x,swing_miss
0,CH,2021-10-03,88.0,-1.53,6.43,"Judge, Aaron",592450,608379,strikeout,swinging_strike,8.0,Aaron Judge strikes out swinging.,R,R,R,NYY,TB,S,2.0,,2,2,2021,-1.05,9.600000000000001,0.07,2.2,,,650402.0,1,4,Bot,,,572287,6.1134081206845545,-128.0090226582829,-5.8939853376767255,-12.809589615456822,25.089780734698632,-22.37672401075005,3.76,1.75,,,,88.9,1606.0,6.8,632239,608379,572287,596847,664040,621563,677551,640457,595281,668227,53.73,,,0.0,1.0,0.0,0.0,,29,5,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,239.0,-0.034,-0.261,1,2-2,-0.07,12.600000000000001,1
1,SI,2021-10-03,95.8,-1.51,6.34,"Judge, Aaron",592450,608379,,foul,1.0,Aaron Judge strikes out swinging.,R,R,R,NYY,TB,S,,,2,1,2021,-1.17,14.64,-0.54,3.67,,,650402.0,1,4,Bot,,,572287,5.2502055411321376,-139.42496258131024,-4.213708587752952,-16.452649562428377,31.5985679798516,-15.51769929874469,3.76,1.75,231.0,76.5,27.0,96.5,2074.0,6.7,632239,608379,572287,596847,664040,621563,677551,640457,595281,668227,53.81,,,,,,,,29,4,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,209.0,0.0,-0.096,1,2-1,0.54,14.04,0
2,SI,2021-10-03,96.5,-1.71,6.42,"Judge, Aaron",592450,608379,,foul,11.0,Aaron Judge strikes out swinging.,R,R,R,NYY,TB,S,,,2,0,2021,-0.94,16.56,-0.68,3.91,,,650402.0,1,4,Bot,,,572287,4.923636169833626,-140.3699601130563,-4.271010201042277,-13.606143140068118,32.27472011801561,-13.12455469936054,3.76,1.75,215.0,77.6,24.0,97.0,2136.0,6.6,632239,608379,572287,596847,664040,621563,677551,640457,595281,668227,53.89,,,,,,,,29,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,205.0,0.0,-0.06,1,2-0,0.68,11.28,0
3,CH,2021-10-03,86.8,-1.6,6.44,"Judge, Aaron",592450,608379,,ball,13.0,Aaron Judge strikes out swinging.,R,R,R,NYY,TB,B,,,1,0,2021,-1.28,6.0,-0.22,1.41,,,650402.0,1,4,Bot,,,572287,5.981092681758764,-126.07232837630346,-6.829190497347565,-14.907701757247176,28.09092858107202,-25.57332693359984,4.08,1.96,,,,87.1,1657.0,6.8,632239,608379,572287,596847,664040,621563,677551,640457,595281,668227,53.71,,,,,,,,29,2,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,243.0,0.0,0.07,0,1-0,0.22,15.36,0
4,CU,2021-10-03,77.1,-1.72,6.42,"Judge, Aaron",592450,608379,,ball,13.0,Aaron Judge strikes out swinging.,R,R,R,NYY,TB,B,,,0,0,2021,0.4,-13.080000000000002,-0.64,1.04,,,650402.0,1,4,Bot,,,572287,1.5860462063267564,-112.19752694926406,-2.368762197129638,2.983150350719926,23.846027273794064,-41.04534945402736,4.12,1.9,,,,77.3,2214.0,6.8,632239,608379,572287,596847,664040,621563,677551,640457,595281,668227,53.66,,,,,,,,29,1,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,32.0,0.0,0.046,0,0-0,0.64,-4.800000000000001,0
5,FF,2021-10-03,94.4,-1.56,6.42,"Judge, Aaron",592450,608379,out,hit_into_play,5.0,"Aaron Judge grounds into a double play, shortstop Wander Franco to second baseman Brandon Lowe to first baseman Ji-Man Choi.   Anthony Rizzo out at 2nd.    Aaron Judge out at 1st.",R,R,R,NYY,TB,X,6.0,ground_ball,0,0,2021,-0.62,18.36,-0.01,2.54,,,519203.0,1,1,Bot,105.52,140.93,572287,5.485114328422111,-137.2991097124281,-7.91949450096755,-9.030533839435488,29.719133681553785,-11.239852682819771,3.76,1.75,85.0,118.6,3.0,95.6,2198.0,6.9,632239,608379,572287,596847,664040,621563,677551,640457,595281,668227,53.56,0.663,0.63,0.0,1.0,0.0,0.0,5.0,7,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,207.0,-0.05,-0.351,1,0-0,0.01,7.4399999999999995,0
6,SL,2021-10-03,90.4,-1.16,5.99,"Judge, Aaron",592450,552640,single,hit_into_play,9.0,"Aaron Judge singles on a sharp ground ball to second baseman Brandon Lowe, deflected by pitcher Andrew Kittredge.   Tyler Wade scores.    Anthony Rizzo to 3rd.",R,R,R,NYY,TB,X,1.0,ground_ball,2,2,2021,0.58,-1.08,0.73,2.06,642180.0,519203.0,,1,9,Bot,130.83,160.49,572287,3.483752806750228,-131.69377094164193,-3.7603416376612726,6.195497034081647,25.00601750633938,-32.687870561787285,3.76,1.75,93.0,104.4,4.0,91.1,2636.0,6.4,632239,552640,572287,596847,664040,621563,677551,622534,621433,668227,54.06,0.554,0.504,0.9,1.0,1.0,0.0,4.0,66,5,Slider,0,0,0,0,0,1,1,0,Infield shift,Standard,132.0,0.162,1.122,1,2-2,-0.73,-6.959999999999999,0
7,SI,2021-10-03,96.7,-1.24,6.01,"Judge, Aaron",592450,552640,,ball,11.0,"Aaron Judge singles on a sharp ground ball to second baseman Brandon Lowe, deflected by pitcher Andrew Kittredge.   Tyler Wade scores.    Anthony Rizzo to 3rd.",R,R,R,NYY,TB,B,,,1,2,2021,-1.13,11.52,-1.92,3.07,642180.0,519203.0,,1,9,Bot,,,572287,0.7485606542702268,-140.75548364800807,-4.475076069486825,-15.136494042573082,32.40477297592354,-18.673830338529623,4.05,1.92,,,,97.2,2330.0,6.6,632239,552640,572287,596847,664040,621563,677551,622534,621433,668227,53.93,,,,,,,,66,4,Sinker,0,0,0,0,0,0,0,0,Infield shift,Standard,213.0,0.0,0.031,0,1-2,1.92,13.559999999999999,0
8,SI,2021-10-03,97.1,-1.23,5.95,"Judge, Aaron",592450,552640,,swinging_strike,13.0,"Aaron Judge singles on a sharp ground ball to second baseman Brandon Lowe, deflected by pitcher Andrew Kittredge.   Tyler Wade scores.    Anthony Rizzo to 3rd.",R,R,R,NYY,TB,S,,,1,1,2021,-1.3,9.959999999999999,-1.11,2.1,642180.0,519203.0,,1,9,Bot,,,572287,3.313941584116401,-141.16222273496084,-6.675122062256999,-18.130022710761807,34.12530857135063,-19.683998533128367,3.76,1.75,,,,97.3,2381.0,6.6,632239,552640,572287,596847,664040,621563,677551,622534,621433,668227,53.91,,,,,,,,66,3,Sinker,0,0,0,0,0,0,0,0,Infield shift,Standard,214.0,0.0,-0.152,1,1-1,1.11,15.600000000000001,1
9,SL,2021-10-03,79.7,-2.49,5.13,"Judge, Aaron",592450,543521,out,hit_into_play,5.0,"Aaron Judge grounds out, second baseman Brandon Lowe to first baseman Ji-Man Choi.",R,R,R,NYY,TB,X,4.0,ground_ball,1,1,2021,1.35,-3.4799999999999995,-0.15,2.52,,,,0,7,Bot,132.28,163.25,572287,2.626898428131547,-116.0091676330559,1.6143893170847097,11.562262303905522,23.92948872586637,-35.338847373932744,3.76,1.75,35.0,69.5,-1.0,79.7,2865.0,6.5,632239,543521,572287,596847,664040,621563,677551,640457,595281,668227,54.03,0.1,0.09,0.0,1.0,0.0,0.0,2.0,49,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,53.0,-0.038,-0.23,1,1-1,0.15,-16.200000000000003,0
