,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,fielder_2,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,is_strike,pitch_count,plate_-x,pfx_-x,swing_miss
0,FC,2021-09-28,86.4,-1.1,6.25,"Wainwright, Adam",500871,425794,out,hit_into_play,12,Eduardo Escobar grounds out to first baseman Paul Goldschmidt.,R,L,R,STL,MIL,X,3.0,ground_ball,0,1,2021,0.49,7.4399999999999995,0.88,2.43,,649966.0,607054.0,2,6,Top,155.84,165.13,668800,3.7309953989857663,-125.87306401504726,-4.270794322893119,4.660825340679315,21.79769812613836,-24.93807947128573,3.3,1.5,20.0,60.1,-4.0,87.4,2422.0,6.5,632314,425794,668800,502671,669242,571448,657557,641933,664056,666185,53.97,0.1,0.092,0.0,1.0,0.0,0.0,2.0,51,2,Cutter,4,2,2,4,2,4,2,4,Strategic,Strategic,183.0,0.058,-0.366,1,0-1,-0.88,-5.88,0
1,FC,2021-09-28,85.9,-1.09,6.36,"Wainwright, Adam",500871,425794,,called_strike,2,Eduardo Escobar grounds out to first baseman Paul Goldschmidt.,R,L,R,STL,MIL,S,,,0,0,2021,0.42,3.96,0.2,2.86,,649966.0,607054.0,2,6,Top,,,668800,2.210030465010141,-125.19247503156,-2.755686236779564,4.050163171035046,23.18853155350772,-28.41546254936006,3.02,1.43,,,,86.6,2382.0,6.5,632314,425794,668800,502671,669242,571448,657557,641933,664056,666185,54.04,,,,,,,,51,1,Cutter,4,2,2,4,2,4,2,4,Strategic,Standard,166.0,0.0,-0.075,1,0-0,-0.2,-5.04,0
2,SI,2021-09-28,89.9,-1.08,6.23,"Wainwright, Adam",621438,425794,strikeout,swinging_strike,3,Tyrone Taylor strikes out swinging.,R,R,R,STL,MIL,S,2.0,,2,2,2021,-0.65,14.52,0.68,2.99,,649966.0,607054.0,1,6,Top,,,668800,5.784091324396768,-130.85515357934662,-4.669284725365883,-8.647460557692005,27.030422718590312,-17.496824440313265,3.3,1.61,,,,90.9,2192.0,6.8,632314,425794,668800,502671,669242,571448,657557,641933,664056,666185,53.66,,,0.0,1.0,0.0,0.0,,50,5,Sinker,4,2,2,4,2,4,2,4,Standard,Standard,199.0,0.064,-0.433,1,2-2,-0.68,7.800000000000001,1
3,FC,2021-09-28,85.9,-1.05,6.25,"Wainwright, Adam",621438,425794,,foul,3,Tyrone Taylor strikes out swinging.,R,R,R,STL,MIL,S,,,2,1,2021,0.65,5.76,0.65,3.26,,649966.0,607054.0,1,6,Top,,,668800,2.719844244392996,-125.17949735043436,-1.8904598208314616,6.428148545441637,21.811586027854663,-26.92809539953215,3.3,1.61,152.0,71.3,25.0,86.8,2403.0,6.5,632314,425794,668800,502671,669242,571448,657557,641933,664056,666185,54.03,,,,,,,,50,4,Cutter,4,2,2,4,2,4,2,4,Standard,Standard,142.0,0.0,-0.138,1,2-1,-0.65,-7.800000000000001,0
4,SI,2021-09-28,90.9,-1.09,6.18,"Wainwright, Adam",621438,425794,,called_strike,9,Tyrone Taylor strikes out swinging.,R,R,R,STL,MIL,S,,,2,0,2021,-1.1,8.16,0.54,1.78,,649966.0,607054.0,1,6,Top,,,668800,6.501698200291157,-132.2407212786179,-6.659546128529832,-14.292993296314345,25.861897927440225,-22.9614062023832,3.21,1.62,,,,92.0,2271.0,6.8,632314,425794,668800,502671,669242,571448,657557,641933,664056,666185,53.74,,,,,,,,50,3,Sinker,4,2,2,4,2,4,2,4,Standard,Standard,205.0,0.0,-0.149,1,2-0,-0.54,13.200000000000001,0
5,SI,2021-09-28,91.5,-0.96,6.15,"Wainwright, Adam",621438,425794,,ball,14,Tyrone Taylor strikes out swinging.,R,R,R,STL,MIL,B,,,1,0,2021,-1.11,14.28,1.2,0.27,,649966.0,607054.0,1,6,Top,,,668800,7.883959310683112,-132.57372126968323,-11.545686063382275,-14.757362861644934,28.244459749594323,-15.81351088644411,3.16,1.62,,,,92.1,2321.0,6.9,632314,425794,668800,502671,669242,571448,657557,641933,664056,666185,53.61,,,,,,,,50,2,Sinker,4,2,2,4,2,4,2,4,Standard,Standard,203.0,0.0,0.145,0,1-0,-1.2,13.32,0
6,SI,2021-09-28,91.3,-0.89,6.33,"Wainwright, Adam",621438,425794,,ball,14,Tyrone Taylor strikes out swinging.,R,R,R,STL,MIL,B,,,0,0,2021,-1.27,12.48,0.7,1.25,,649966.0,607054.0,1,6,Top,,,668800,6.778389878789191,-132.56527519084628,-9.137155947378847,-16.405989038850034,29.024837504751694,-18.128863606006576,3.21,1.65,,,,91.8,2400.0,6.7,632314,425794,668800,502671,669242,571448,657557,641933,664056,666185,53.76,,,,,,,,50,1,Sinker,4,2,2,4,2,4,2,4,Standard,Standard,202.0,0.0,0.089,0,0-0,-0.7,15.24,0
7,SI,2021-09-28,88.8,-1.35,6.18,"Wainwright, Adam",607054,425794,single,hit_into_play,13,Jace Peterson singles on a line drive to center fielder Harrison Bader.   Luis Urias to 2nd.,R,L,R,STL,MIL,X,8.0,line_drive,0,1,2021,-1.01,10.8,-0.2,1.4,,,649966.0,1,6,Top,104.51,92.15,668800,4.95533664040425,-129.08793246559196,-7.587826300166835,-12.30286414436678,25.181709200424823,-20.804139000555526,3.37,1.53,219.0,86.3,15.0,89.4,2221.0,6.6,632314,425794,668800,502671,669242,571448,657557,641933,664056,666185,53.91,0.951,0.904,0.9,1.0,1.0,0.0,4.0,49,2,Sinker,4,2,2,4,2,4,2,4,Standard,Standard,207.0,-0.053,0.523,1,0-1,0.2,12.120000000000001,0
8,CH,2021-09-28,83.9,-1.35,6.23,"Wainwright, Adam",607054,425794,,called_strike,4,Jace Peterson singles on a line drive to center fielder Harrison Bader.   Luis Urias to 2nd.,R,L,R,STL,MIL,S,,,0,0,2021,-1.13,6.48,-0.72,2.26,,,649966.0,1,6,Top,,,668800,3.705028278786509,-122.22350266557662,-3.88759962400972,-12.070216298194463,23.41966135619434,-26.22605433698262,3.29,1.59,,,,84.4,1577.0,6.5,632314,425794,668800,502671,669242,571448,657557,641933,664056,666185,54.03,,,,,,,,49,1,Changeup,4,2,2,4,2,4,2,4,Standard,Standard,223.0,0.0,-0.048,1,0-0,0.72,13.559999999999999,0
9,SI,2021-09-28,89.6,-1.08,6.22,"Wainwright, Adam",649966,425794,walk,ball,14,Luis Urias walks.,R,R,R,STL,MIL,B,,,3,1,2021,-1.01,12.84,0.84,2.03,,,,1,6,Top,,,668800,6.932887839629663,-130.23031265636752,-6.655925421202338,-12.973564930872286,26.677846508227432,-18.76046115770447,3.26,1.57,,,,90.3,2253.0,6.7,632314,425794,668800,502671,669242,571448,657557,641933,664056,666185,53.8,,,0.7,1.0,0.0,0.0,,48,5,Sinker,4,2,2,4,2,4,2,4,Standard,Standard,205.0,-0.036,0.149,0,3-1,-0.84,12.120000000000001,0
