,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,fielder_2,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,is_strike,pitch_count,plate_-x,pfx_-x,swing_miss
0,FF,2021-09-29,93.3,-1.94,5.02,"Nola, Aaron",608331,605400,strikeout,swinging_strike,11,Max Fried strikes out swinging.,R,L,R,ATL,PHI,S,2.0,,0,2,2021,-1.24,103.68,-0.53,3.83,,,,2,6,Bot,,,592663,6.437747090340378,-135.59493867987996,0.3864196790930054,-16.720704055069977,33.11871847274062,-19.23098135283781,3.55,1.63,,,,93.8,2356.0,6.9,632306,605400,592663,663837,516416,591720,544369,457705,546318,547180,53.6,,,0.0,1.0,0.0,0.0,,49,3,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard,237,-0.01,-0.061,1,0-2,0.49,178.56,1
1,FF,2021-09-29,93.2,-1.97,5.09,"Nola, Aaron",608331,605400,,swinging_strike,11,Max Fried strikes out swinging.,R,L,R,ATL,PHI,S,,,0,1,2021,-1.18,50.39999999999999,-0.95,4.17,,,,2,6,Bot,,,592663,5.285874338057687,-135.54291878057998,0.7892327027901868,-15.751346063643853,33.67994688662074,-17.659463435772537,3.55,1.63,,,,93.9,2452.0,7.0,632306,605400,592663,663837,516416,591720,544369,457705,546318,547180,53.47,,,,,,,,49,2,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard,234,0.0,-0.024,1,0-1,-0.23,230.40000000000003,1
2,KC,2021-09-29,78.2,-1.96,5.2,"Nola, Aaron",608331,605400,,called_strike,4,Max Fried strikes out swinging.,R,L,R,ATL,PHI,S,,,0,0,2021,1.21,203.03999999999996,-0.32,2.53,,,,2,6,Bot,,,592663,1.288395546284905,-113.71140709250638,2.8558177660901425,10.101998234902847,24.919586661701544,-40.29672812895552,3.44,1.56,,,,78.3,2609.0,6.9,632306,605400,592663,663837,516416,591720,544369,457705,546318,547180,53.64,,,,,,,,49,1,Knuckle Curve,3,2,3,2,2,3,3,2,Standard,Standard,55,0.0,-0.018,1,0-0,1.53,191.52,0
3,FC,2021-09-29,86.5,-1.92,5.13,"Nola, Aaron",621020,605400,out,hit_into_play,6,Dansby Swanson flies out to right fielder Bryce Harper.,R,R,R,ATL,PHI,X,9.0,fly_ball,0,1,2021,0.15,-30.240000000000002,0.5,2.46,,,,1,6,Bot,204.45,84.98,592663,5.526222541851069,-125.83270959326671,-1.233449936260523,0.4138265072650263,26.324682604635885,-26.353234139571715,3.41,1.56,341.0,96.8,35.0,87.4,2161.0,7.0,632306,605400,592663,663837,516416,591720,544369,457705,546318,547180,53.55,0.171,0.309,0.0,1.0,0.0,0.0,3.0,48,2,Cutter,3,2,3,2,2,3,3,2,Standard,Standard,217,-0.015,-0.136,1,0-1,-0.23,-76.32000000000001,0
4,FC,2021-09-29,86.4,-1.84,5.04,"Nola, Aaron",621020,605400,,foul,9,Dansby Swanson flies out to right fielder Bryce Harper.,R,R,R,ATL,PHI,S,,,0,0,2021,-0.02,-1.44,0.58,1.62,,,,1,6,Bot,,,592663,5.8817889908446,-125.73394525994752,-3.296231633148584,-1.3951594362036814,25.453681344297536,-24.77877614287239,3.41,1.56,2.0,55.6,-44.0,87.6,2128.0,7.0,632306,605400,592663,663837,516416,591720,544369,457705,546318,547180,53.48,,,,,,,,48,1,Cutter,3,2,3,2,2,3,3,2,Standard,Standard,236,0.0,-0.027,1,0-0,-0.21,-30.240000000000002,0
5,FC,2021-09-29,85.6,-2.12,5.05,"Nola, Aaron",518595,605400,out,hit_into_play,4,"Travis d'Arnaud grounds out, third baseman Ronald Torreyes to first baseman Matt Vierling.",R,R,R,ATL,PHI,X,5.0,ground_ball,0,0,2021,0.05,0.0,-0.39,2.65,,,,0,6,Bot,103.58,170.36,592663,4.026182279195854,-124.69357963556678,-0.1149202065591352,-0.2491684851606441,23.93161830931562,-28.76211911766722,3.47,1.59,24.0,78.2,-5.0,86.7,2033.0,6.8,632306,605400,592663,663837,516416,591720,544369,457705,546318,547180,53.7,0.106,0.097,0.0,1.0,0.0,0.0,2.0,47,1,Cutter,3,2,3,2,2,3,3,2,Standard,Standard,217,-0.021,-0.241,1,0-0,-0.22,-59.04,0
6,CH,2021-09-29,85.2,-2.23,4.91,"Nola, Aaron",592696,605400,out,hit_into_play,7,"Eddie Rosario grounds out, first baseman Matt Vierling to pitcher Aaron Nola.",R,L,R,ATL,PHI,X,3.0,ground_ball,1,1,2021,-1.1,221.76,-0.46,2.05,,,,2,5,Bot,150.67,165.25,592663,6.4235816982376575,-124.00864929355632,-1.5245786319492691,-12.648846620480043,23.051833869364906,-26.594938564057603,3.41,1.56,14.0,76.6,-8.0,86.2,1567.0,6.8,632306,605400,592663,663837,516416,591720,544369,457705,546318,547180,53.73,0.083,0.079,0.0,1.0,0.0,0.0,2.0,42,3,Changeup,3,1,3,1,1,3,3,1,Infield shift,Standard,261,-0.006,-0.099,1,1-1,-0.93,110.88,0
7,SI,2021-09-29,91.7,-1.93,5.13,"Nola, Aaron",592696,605400,,swinging_strike,2,"Eddie Rosario grounds out, first baseman Matt Vierling to pitcher Aaron Nola.",R,L,R,ATL,PHI,S,,,1,0,2021,-1.38,-67.67999999999999,-0.08,3.37,,,,2,5,Bot,,,592663,7.764052732770479,-133.47169171999926,-0.1852757372970336,-18.13224228448864,26.826275919068703,-23.62561215959904,3.41,1.56,,,,93.3,2202.0,7.1,632306,605400,592663,663837,516416,591720,544369,457705,546318,547180,53.45,,,,,,,,42,2,Sinker,3,1,3,1,1,3,3,1,Infield shift,Standard,232,0.0,-0.02,1,1-0,-0.71,-79.2,1
8,FF,2021-09-29,93.7,-1.83,5.02,"Nola, Aaron",592696,605400,,ball,12,"Eddie Rosario grounds out, first baseman Matt Vierling to pitcher Aaron Nola.",R,L,R,ATL,PHI,B,,,0,0,2021,-1.16,-158.4,1.33,2.56,,,,2,5,Bot,,,592663,10.902305343024402,-136.10074067244489,-3.2607986258135107,-16.69584659247931,28.42649023945844,-17.074772488127547,3.2,1.6,,,,95.4,2275.0,7.3,632306,605400,592663,663837,516416,591720,544369,457705,546318,547180,53.23,,,,,,,,42,1,4-Seam Fastball,3,1,3,1,1,3,3,1,Infield shift,Standard,234,0.0,0.016,0,0-0,-0.93,-178.56,0
9,SI,2021-09-29,93.0,-1.97,4.97,"Nola, Aaron",594807,605400,out,hit_into_play,2,Adam Duvall pops out to third baseman Ronald Torreyes.,R,R,R,ATL,PHI,X,5.0,popup,1,1,2021,-1.39,260.64,-0.13,3.32,,,,1,5,Bot,112.99,190.26,592663,7.868390795835992,-135.20022986047067,-0.1665633753569936,-18.80878216971832,29.986621542013307,-22.52573042765572,3.41,1.56,45.0,75.0,78.0,94.0,2182.0,7.0,632306,605400,592663,663837,516416,591720,544369,457705,546318,547180,53.53,0.0,0.0,0.0,1.0,0.0,0.0,3.0,41,3,Sinker,3,1,3,1,1,3,3,1,Infield shift,Standard,235,-0.011,-0.157,1,1-1,-0.58,79.2,0
