,pitch_type,game_date,player_name,launch_speed,launch_angle,hit_distance_sc,hc_x,hc_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,type,hit_location,bb_type,events,description,des,balls,strikes,pitch_count,zone,is_strike,swing_miss,first_pitch_take,first_pitch_swing,in_zone_take,out_of_zone_chase,release_speed,release_spin_rate,spin_axis,pfx_x,pfx_-x,pfx_z,release_pos_x,release_pos_z,effective_speed,release_extension,release_pos_y,plate_-x,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,fielder_2,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,stand,p_throws,release_speed,release_spin_rate,spin_axis,pfx_x,pfx_-x,pfx_z,release_pos_x,release_pos_z,effective_speed,release_extension,release_pos_y,plate_-x,plate_x,plate_z,batter,pitcher,home_team,away_team,if_fielding_alignment,of_fielding_alignment,game_pk,at_bat_number,pitch_number,pitch_name,home_score,away_score,post_away_score,post_home_score,delta_home_win_exp,delta_run_exp,game_year
0,SL,2021-10-03,"Harper, Bryce",,,,,,,,0.7,1.0,0.0,0.0,,B,,,walk,ball,Bryce Harper walks.,3,2,3-2,13,0,0,0,0,0,0,84.5,2438.0,245.0,-0.56,6.720000000000001,3.7199999999999998,3.5,5.43,84.9,6.4,54.1,1.04,-1.04,1.84,,,,1,3,Top,663743,-9.466082121696,-122.81728445892328,-2.6730448510720715,-4.020394858204423,22.005665472338706,-28.692107060474825,3.01,1.68,L,L,84.5,2438.0,245.0,-0.56,6.720000000000001,3.7199999999999998,3.5,5.43,84.9,6.4,54.1,1.04,-1.04,1.84,547180,595345,MIA,PHI,Infield shift,Strategic,632246,22,6,Slider,3,1,1,3,-0.028,0.214,2021
1,SL,2021-10-03,"Harper, Bryce",,,,,,,,,,,,,S,,,,called_strike,Bryce Harper walks.,3,1,3-1,8,1,0,0,0,1,0,83.0,2412.0,252.0,-0.62,7.4399999999999995,3.24,3.48,5.51,83.7,6.5,53.97,-0.1,0.1,1.72,,,,1,3,Top,663743,-6.535792056544514,-120.81518840154926,-2.778349855253257,-4.95880239470722,21.66209222491084,-29.16855612332807,2.93,1.51,L,L,83.0,2412.0,252.0,-0.62,7.4399999999999995,3.24,3.48,5.51,83.7,6.5,53.97,-0.1,0.1,1.72,547180,595345,MIA,PHI,Infield shift,Strategic,632246,22,5,Slider,3,1,1,3,0.0,-0.065,2021
2,CH,2021-10-03,"Harper, Bryce",101.6,14.0,282.0,90.14,53.68,0.749,0.734,1.25,1.0,1.0,1.0,4.0,X,8.0,line_drive,double,hit_into_play,Bryce Harper doubles (42) on a sharp line drive to center fielder Magneuris Sierra.   Alec Bohm to 3rd.,1,1,1-1,4,1,0,0,0,0,0,88.8,2085.0,238.0,-1.49,17.88,3.84,-2.14,5.57,88.7,6.5,53.97,0.78,-0.78,2.3,,,664761.0,1,1,Top,506702,6.46988988487649,-129.0927041835372,-2.5648060364360434,-17.98958728764338,29.705201936041224,-28.208278926423525,3.49,1.6,L,R,88.8,2085.0,238.0,-1.49,17.88,3.84,-2.14,5.57,88.7,6.5,53.97,0.78,-0.78,2.3,547180,641154,MIA,PHI,Infield shift,Standard,632246,3,3,Changeup,0,0,0,0,-0.083,0.923,2021
3,SL,2021-10-03,"Harper, Bryce",,,,,,,,,,,,,S,,,,called_strike,Bryce Harper walks.,3,0,3-0,6,1,0,0,0,1,0,81.9,2453.0,256.0,-0.69,8.28,4.199999999999999,3.5,5.51,82.4,6.4,54.08,-0.4,0.4,2.42,,,,1,3,Top,663743,-5.700409347089622,-119.21134800917248,-1.1605164550836788,-5.567394975389844,21.250350228029248,-28.81856975409656,2.95,1.62,L,L,81.9,2453.0,256.0,-0.69,8.28,4.199999999999999,3.5,5.51,82.4,6.4,54.08,-0.4,0.4,2.42,547180,595345,MIA,PHI,Infield shift,Strategic,632246,22,4,Slider,3,1,1,3,0.0,-0.049,2021
4,FF,2021-10-03,"Harper, Bryce",,,,,,,,,,,,,B,,,,ball,Bryce Harper walks.,2,0,2-0,13,0,0,0,0,0,0,93.8,2282.0,132.0,0.71,-8.52,11.16,3.11,5.9,93.6,6.3,54.16,1.08,-1.08,1.94,,,,1,3,Top,663743,-12.364086046541058,-135.99343428194433,-6.531600404018772,11.50297708184994,29.313768056449263,-19.28270920770964,2.96,1.6,L,L,93.8,2282.0,132.0,0.71,-8.52,11.16,3.11,5.9,93.6,6.3,54.16,1.08,-1.08,1.94,547180,595345,MIA,PHI,Infield shift,Strategic,632246,22,3,4-Seam Fastball,3,1,1,3,0.0,0.088,2021
5,FC,2021-10-03,"Harper, Bryce",,,,,,,,,,,,,S,,,,called_strike,Bryce Harper doubles (42) on a sharp line drive to center fielder Magneuris Sierra.   Alec Bohm to 3rd.,1,0,1-0,5,1,0,0,0,1,0,92.0,2182.0,218.0,0.2,-2.4000000000000004,8.879999999999999,-2.19,5.56,92.5,6.6,53.86,0.01,-0.01,2.64,,,664761.0,1,1,Top,506702,5.115402816733583,-133.9119675848255,-3.1503471869355746,1.299732118618787,30.18430953923174,-22.848942929339948,3.14,1.62,L,R,92.0,2182.0,218.0,0.2,-2.4000000000000004,8.879999999999999,-2.19,5.56,92.5,6.6,53.86,0.01,-0.01,2.64,547180,641154,MIA,PHI,Infield shift,Standard,632246,3,2,Cutter,0,0,0,0,0.0,-0.051,2021
6,SL,2021-10-03,"Harper, Bryce",,,,,,,,,,,,,B,,,,ball,Bryce Harper walks.,1,0,1-0,13,0,0,0,0,0,0,82.7,2476.0,256.0,-0.82,9.84,1.92,3.5,5.56,82.7,6.3,54.19,1.08,-1.08,1.01,,,,1,3,Top,663743,-8.8404411700604,-120.15011822236453,-4.188884949651027,-6.250717875396315,22.69317054005451,-29.99665688364106,3.08,1.65,L,L,82.7,2476.0,256.0,-0.82,9.84,1.92,3.5,5.56,82.7,6.3,54.19,1.08,-1.08,1.01,547180,595345,MIA,PHI,Infield shift,Strategic,632246,22,2,Slider,3,1,1,3,0.0,0.05,2021
7,CU,2021-10-03,"Harper, Bryce",,,,,,,,,,,,,B,,,,ball,Bryce Harper doubles (42) on a sharp line drive to center fielder Magneuris Sierra.   Alec Bohm to 3rd.,0,0,0-0,13,0,0,0,0,0,0,83.1,2532.0,49.0,0.78,-9.36,-10.32,-2.18,5.66,83.2,6.5,54.03,1.93,-1.93,1.45,,,664761.0,1,1,Top,506702,-0.9772594040003744,-121.0349459955786,-1.4818940521937332,7.82625714491125,25.32494850765691,-40.4571911251924,3.26,1.58,L,R,83.1,2532.0,49.0,0.78,-9.36,-10.32,-2.18,5.66,83.2,6.5,54.03,1.93,-1.93,1.45,547180,641154,MIA,PHI,Infield shift,Standard,632246,3,1,Curveball,0,0,0,0,0.0,0.046,2021
8,SL,2021-10-03,"Harper, Bryce",,,,,,,,,,,,,B,,,,ball,Bryce Harper walks.,0,0,0-0,13,0,0,0,0,0,0,81.8,2443.0,267.0,-0.93,11.16,0.6000000000000001,3.32,5.57,82.0,6.6,53.92,1.42,-1.42,0.97,,,,1,3,Top,663743,-8.9439995983292,-118.82712805980904,-3.86550195970981,-6.9996626675210925,23.67047515156673,-31.087685416439463,3.23,1.74,L,L,81.8,2443.0,267.0,-0.93,11.16,0.6000000000000001,3.32,5.57,82.0,6.6,53.92,1.42,-1.42,0.97,547180,595345,MIA,PHI,Infield shift,Strategic,632246,22,1,Slider,3,1,1,3,0.0,0.026,2021
9,FF,2021-10-02,"Harper, Bryce",,,,,,,,0.0,1.0,0.0,0.0,,S,2.0,,strikeout,swinging_strike,Bryce Harper strikes out swinging.,3,2,3-2,1,1,1,0,0,0,0,97.2,2267.0,134.0,0.97,-11.64,16.799999999999997,2.08,6.03,95.4,5.4,55.09,0.74,-0.74,3.61,,,,0,6,Top,656577,-9.591838496821817,-141.20210411737543,-4.083604028371562,15.188372499085911,32.966854906789706,-12.64272041176495,3.49,1.6,L,L,97.2,2267.0,134.0,0.97,-11.64,16.799999999999997,2.08,6.03,95.4,5.4,55.09,0.74,-0.74,3.61,547180,666200,MIA,PHI,Strategic,Standard,632263,42,7,4-Seam Fastball,3,1,1,3,0.03,-0.317,2021
