,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,fielder_2,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,is_strike,pitch_count,plate_-x,pfx_-x,bauer_units,swing_miss
0,FF,2021-10-01,96.0,-3.15,4.66,"Kimbrel, Craig",605612,518886,out,hit_into_play,2.0,Harold Castro flies out to center fielder Luis Robert.,R,L,R,CWS,DET,X,8.0,fly_ball,0,1,2021,-0.8,13.080000000000002,0.05,2.96,,,,2,8,Top,96.18,55.42,518735,10.270404233458333,-139.41381823220752,-1.3315942324501062,-12.849800914132205,32.4405111648623,-17.944816439695185,3.3,1.5,363.0,97.3,32.0,95.9,2339.0,6.4,632274,518886,518735,547989,514917,660162,641313,571740,673357,544725,54.08,0.294,0.509,0.0,1.0,0.0,0.0,5.0,72,2,4-Seam Fastball,8,1,1,8,1,8,1,8,Infield shift,Standard,228.0,0.0,-0.085,1,0-1,-0.05,9.600000000000001,24.364583333333332,0
1,FF,2021-10-01,96.5,-3.08,4.82,"Kimbrel, Craig",605612,518886,,called_strike,6.0,Harold Castro flies out to center fielder Luis Robert.,R,L,R,CWS,DET,S,,,0,0,2021,-0.91,16.080000000000002,0.38,2.69,,,,2,8,Top,,,518735,11.259936665804592,-140.01172758360232,-3.084672617583653,-14.632779407230109,33.57393730760721,-14.028565174847126,3.36,1.65,,,,96.0,2369.0,6.3,632274,518886,518735,547989,514917,660162,641313,571740,673357,544725,54.18,,,,,,,,72,1,4-Seam Fastball,8,1,1,8,1,8,1,8,Infield shift,Standard,227.0,0.0,-0.018,1,0-0,-0.38,10.92,24.54922279792746,0
2,FF,2021-10-01,94.8,-3.04,4.77,"Kimbrel, Craig",408234,518886,strikeout,swinging_strike,1.0,Miguel Cabrera strikes out swinging.,R,R,R,CWS,DET,S,2.0,,2,2,2021,-0.84,13.799999999999999,-0.45,3.5,,,,1,8,Top,,,518735,8.676441964074808,-137.70309757018262,-0.1577797917516115,-12.701850663358318,34.07170492024424,-17.894026382347075,3.55,1.63,,,,94.6,2337.0,6.5,632274,518886,518735,547989,514917,660162,641313,571740,673357,544725,53.96,,,0.0,1.0,0.0,0.0,,71,6,4-Seam Fastball,8,1,1,8,1,8,1,8,Standard,Standard,228.0,0.001,-0.142,1,2-2,0.45,10.08,24.651898734177216,1
3,KC,2021-10-01,86.7,-3.1,4.81,"Kimbrel, Craig",408234,518886,,ball,14.0,Miguel Cabrera strikes out swinging.,R,R,R,CWS,DET,B,,,1,2,2021,1.13,-6.48,0.92,0.74,,,,1,8,Top,,,518735,7.315046741890758,-126.14350111477358,-2.488332763477374,10.709529067053111,23.761092729881195,-37.64116486105525,3.52,1.87,,,,87.1,2739.0,6.4,632274,518886,518735,547989,514917,660162,641313,571740,673357,544725,54.12,,,,,,,,71,5,Knuckle Curve,8,1,1,8,1,8,1,8,Standard,Standard,59.0,0.0,0.028,0,1-2,-0.92,-13.559999999999999,31.591695501730104,0
4,FF,2021-10-01,95.7,-3.03,4.79,"Kimbrel, Craig",408234,518886,,foul,6.0,Miguel Cabrera strikes out swinging.,R,R,R,CWS,DET,S,,,1,2,2021,-0.86,15.120000000000001,0.68,2.36,,,,1,8,Top,,,518735,11.69609459699574,-138.852199133358,-3.623236125881996,-13.709642182044524,30.346889094692777,-15.154218608803433,3.55,1.63,328.0,92.4,33.0,95.6,2396.0,6.3,632274,518886,518735,547989,514917,660162,641313,571740,673357,544725,54.16,,,,,,,,71,4,4-Seam Fastball,8,1,1,8,1,8,1,8,Standard,Standard,228.0,0.0,0.0,1,1-2,-0.68,10.32,25.03657262277952,0
5,FF,2021-10-01,97.4,-2.96,4.83,"Kimbrel, Craig",408234,518886,,foul,12.0,Miguel Cabrera strikes out swinging.,R,R,R,CWS,DET,S,,,1,1,2021,-0.73,11.399999999999999,0.83,3.09,,,,1,8,Top,,,518735,11.854171219696203,-141.36379897389153,-1.3161645409360443,-12.405927022013218,30.899091570898157,-19.283803631751567,3.55,1.63,321.0,96.6,22.0,97.6,2345.0,6.5,632274,518886,518735,547989,514917,660162,641313,571740,673357,544725,54.04,,,,,,,,71,3,4-Seam Fastball,8,1,1,8,1,8,1,8,Standard,Standard,227.0,0.0,-0.043,1,1-1,-0.83,8.76,24.075975359342916,0
6,FF,2021-10-01,95.4,-3.13,4.83,"Kimbrel, Craig",408234,518886,,ball,11.0,Miguel Cabrera strikes out swinging.,R,R,R,CWS,DET,B,,,0,1,2021,-0.84,14.28,-0.07,4.48,,,,1,8,Top,,,518735,10.000482844191794,-138.553586849317,2.0833982799984594,-13.00009909535361,30.053404290762582,-17.55503460603187,3.48,1.82,,,,96.1,2268.0,6.8,632274,518886,518735,547989,514917,660162,641313,571740,673357,544725,53.75,,,,,,,,71,2,4-Seam Fastball,8,1,1,8,1,8,1,8,Standard,Standard,224.0,0.0,0.021,0,0-1,0.07,10.08,23.773584905660375,0
7,KC,2021-10-01,85.5,-2.98,5.01,"Kimbrel, Craig",408234,518886,,foul,5.0,Miguel Cabrera strikes out swinging.,R,R,R,CWS,DET,S,,,0,0,2021,1.17,-5.4,0.14,2.34,,,,1,8,Top,,,518735,5.021549056956716,-124.55141133805984,0.8392822255814607,11.282320976028554,23.31344847056089,-37.269324227771975,3.55,1.63,205.0,72.7,25.0,86.0,2565.0,6.4,632274,518886,518735,547989,514917,660162,641313,571740,673357,544725,54.08,,,,,,,,71,1,Knuckle Curve,8,1,1,8,1,8,1,8,Standard,Standard,63.0,0.0,-0.027,1,0-0,-0.14,-14.04,30.0,0
8,KC,2021-10-01,85.9,-2.86,4.86,"Kimbrel, Craig",570731,518886,strikeout,swinging_strike,14.0,Jonathan Schoop strikes out swinging.,R,R,R,CWS,DET,S,2.0,,1,2,2021,1.1,-6.48,1.59,0.0,,,,0,8,Top,,,518735,8.340625540374507,-124.87843842508636,-4.159143893156619,9.890593934773134,24.72998898289486,-37.234083601994136,3.41,1.56,,,,86.1,2584.0,6.5,632274,518886,518735,547989,514917,660162,641313,571740,673357,544725,54.04,,,0.0,1.0,0.0,0.0,,70,4,Knuckle Curve,8,1,1,8,1,8,1,8,Standard,Standard,60.0,0.001,-0.173,1,1-2,-1.59,-13.200000000000001,30.08149010477299,1
9,FF,2021-10-01,96.6,-3.05,4.9,"Kimbrel, Craig",570731,518886,,ball,12.0,Jonathan Schoop strikes out swinging.,R,R,R,CWS,DET,B,,,0,2,2021,-0.72,14.16,1.17,4.41,,,,0,8,Top,,,518735,12.885375905675946,-140.04194459440143,1.6173605533109432,-12.50918383472324,32.551403072080376,-17.277952959007305,3.67,1.81,,,,96.4,2361.0,6.5,632274,518886,518735,547989,514917,660162,641313,571740,673357,544725,54.04,,,,,,,,70,3,4-Seam Fastball,8,1,1,8,1,8,1,8,Standard,Standard,223.0,0.0,0.022,0,0-2,-1.17,8.64,24.440993788819878,0
