,pitch_type,game_date,player_name,launch_speed,launch_angle,hit_distance_sc,hc_x,hc_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,type,hit_location,bb_type,events,description,des,balls,strikes,pitch_count,zone,is_strike,swing_miss,first_pitch_take,first_pitch_swing,in_zone_take,out_of_zone_chase,release_speed,release_spin_rate,spin_axis,pfx_x,pfx_-x,pfx_z,release_pos_x,release_pos_z,effective_speed,release_extension,release_pos_y,plate_-x,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,fielder_2,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,stand,p_throws,release_speed,release_spin_rate,spin_axis,pfx_x,pfx_-x,pfx_z,release_pos_x,release_pos_z,effective_speed,release_extension,release_pos_y,plate_-x,plate_x,plate_z,batter,pitcher,home_team,away_team,if_fielding_alignment,of_fielding_alignment,game_pk,at_bat_number,pitch_number,pitch_name,home_score,away_score,post_away_score,post_home_score,delta_home_win_exp,delta_run_exp,game_year
0,FF,2021-10-03,"Swanson, Dansby",,,,,,,,0.0,1.0,0.0,0.0,,S,2.0,,strikeout,swinging_strike,Dansby Swanson strikes out swinging.,1,2,1-2,3,1,1,0,0,0,0,92.0,2208.0,203.0,0.14,-1.6800000000000002,8.28,-2.0,5.19,93.5,6.8,53.67,-0.53,0.53,3.26,,,,2,6,Bot,664850,6.170758021391049,-133.96280598078388,-0.6384535418710735,0.6039482820935607,24.76325964602246,-23.806453882252654,3.41,1.56,R,R,92.0,2208.0,203.0,0.14,-1.6800000000000002,8.28,-2.0,5.19,93.5,6.8,53.67,-0.53,0.53,3.26,621020,592866,ATL,NYM,Infield shift,Standard,632254,46,5,4-Seam Fastball,5,0,0,5,-0.001,-0.073,2021
1,FF,2021-10-03,"Swanson, Dansby",82.4,30.0,273.0,,,,,,,,,,S,,,,foul,Dansby Swanson strikes out swinging.,1,2,1-2,12,1,0,0,0,0,0,93.5,2137.0,210.0,0.01,-0.12,9.48,-2.1,5.13,94.7,6.7,53.84,-0.87,0.87,2.74,,,,2,6,Bot,664850,7.673758329070671,-136.11002978242036,-2.2354414265851883,-1.3287470086392486,25.813549420032903,-22.006687566563592,3.41,1.56,R,R,93.5,2137.0,210.0,0.01,-0.12,9.48,-2.1,5.13,94.7,6.7,53.84,-0.87,0.87,2.74,621020,592866,ATL,NYM,Infield shift,Standard,632254,46,4,4-Seam Fastball,5,0,0,5,0.0,0.0,2021
2,FF,2021-10-03,"Swanson, Dansby",,,17.0,,,,,,,,,,S,,,,swinging_strike,Dansby Swanson strikes out swinging.,1,1,1-1,6,1,1,0,0,0,0,93.3,2255.0,206.0,-0.15,1.7999999999999998,11.040000000000001,-2.04,5.25,94.6,6.8,53.74,-0.39,0.39,2.59,,,,2,6,Bot,664850,6.665804073081635,-135.90825046399812,-3.2148960412488607,-3.224523094163973,26.432947947069646,-20.24836659701099,3.41,1.56,R,R,93.3,2255.0,206.0,-0.15,1.7999999999999998,11.040000000000001,-2.04,5.25,94.6,6.8,53.74,-0.39,0.39,2.59,621020,592866,ATL,NYM,Infield shift,Standard,632254,46,3,4-Seam Fastball,5,0,0,5,0.0,-0.027,2021
3,SI,2021-10-03,"Swanson, Dansby",90.9,-27.0,2.0,,,,,,,,,,S,,,,foul,Dansby Swanson strikes out swinging.,1,0,1-0,13,1,0,0,0,0,0,88.6,1925.0,219.0,-0.91,10.92,2.88,-2.28,5.0,89.7,6.8,53.67,0.63,-0.63,1.28,,,,2,6,Bot,664850,5.976631055108026,-128.91053471781632,-3.583467585183808,-11.309817230827278,24.97240767271699,-28.94545432906203,3.41,1.56,R,R,88.6,1925.0,219.0,-0.91,10.92,2.88,-2.28,5.0,89.7,6.8,53.67,0.63,-0.63,1.28,621020,592866,ATL,NYM,Infield shift,Standard,632254,46,2,Sinker,5,0,0,5,0.0,-0.02,2021
4,SL,2021-10-03,"Swanson, Dansby",,,,,,,,,,,,,B,,,,ball,Dansby Swanson strikes out swinging.,0,0,0-0,14,0,0,0,0,0,0,84.2,2307.0,108.0,0.63,-7.5600000000000005,1.44,-2.22,5.2,85.5,6.7,53.78,-0.6,0.6,1.09,,,,2,6,Bot,664850,5.345176461002117,-122.62292290187168,-3.5141895991247067,5.5073955782892,20.521914759466377,-30.58049648862192,3.65,1.62,R,R,84.2,2307.0,108.0,0.63,-7.5600000000000005,1.44,-2.22,5.2,85.5,6.7,53.78,-0.6,0.6,1.09,621020,592866,ATL,NYM,Infield shift,Standard,632254,46,1,Slider,5,0,0,5,0.0,0.016,2021
5,FF,2021-10-03,"Swanson, Dansby",,,,,,,,0.7,1.0,0.0,0.0,,B,,,walk,ball,Dansby Swanson walks.   Travis d'Arnaud to 2nd.,3,0,3-0,11,0,0,0,0,0,0,92.8,2167.0,208.0,-0.33,3.96,12.24,-2.09,5.29,93.9,6.5,53.95,1.2,-1.2,2.79,,,518595.0,0,4,Bot,664850,3.023232073274961,-135.30552045931674,-2.931158417543803,-4.62444959126531,25.827719393880948,-19.193519443254417,3.67,1.65,R,R,92.8,2167.0,208.0,-0.33,3.96,12.24,-2.09,5.29,93.9,6.5,53.95,1.2,-1.2,2.79,621020,592866,ATL,NYM,Infield shift,Standard,632254,31,4,4-Seam Fastball,5,0,0,5,0.008,0.234,2021
6,SI,2021-10-03,"Swanson, Dansby",,,,,,,,,,,,,B,,,,ball,Dansby Swanson walks.   Travis d'Arnaud to 2nd.,2,0,2-0,13,0,0,0,0,0,0,91.3,1976.0,223.0,-1.26,15.120000000000001,6.6000000000000005,-2.18,5.14,92.2,6.8,53.68,1.56,-1.56,1.85,,,518595.0,0,4,Bot,664850,4.316434963750874,-132.93464566896057,-3.5973063427751617,-15.863667238840325,29.02420340571294,-25.04174231290434,3.65,1.65,R,R,91.3,1976.0,223.0,-1.26,15.120000000000001,6.6000000000000005,-2.18,5.14,92.2,6.8,53.68,1.56,-1.56,1.85,621020,592866,ATL,NYM,Infield shift,Standard,632254,31,3,Sinker,5,0,0,5,0.0,0.226,2021
7,SI,2021-10-03,"Swanson, Dansby",,,,,,,,,,,,,B,,,,ball,Dansby Swanson walks.   Travis d'Arnaud to 2nd.,1,0,1-0,13,0,0,0,0,0,0,89.4,1879.0,219.0,-1.05,12.600000000000001,3.4799999999999995,-2.28,4.99,90.4,6.8,53.66,1.24,-1.24,1.69,,,518595.0,0,4,Bot,664850,4.82357169252025,-130.18480973354752,-2.758003472304161,-12.977038747357868,27.36299945387698,-28.53076452773476,3.72,1.65,R,R,89.4,1879.0,219.0,-1.05,12.600000000000001,3.4799999999999995,-2.28,4.99,90.4,6.8,53.66,1.24,-1.24,1.69,621020,592866,ATL,NYM,Infield shift,Standard,632254,31,2,Sinker,5,0,0,5,0.0,0.11,2021
8,SI,2021-10-03,"Swanson, Dansby",,,,,,,,,,,,,B,,,,ball,Dansby Swanson walks.   Travis d'Arnaud to 2nd.,0,0,0-0,14,0,0,0,0,0,0,89.9,2029.0,219.0,-0.89,10.68,5.28,-2.35,4.98,90.9,6.9,53.61,-0.1,0.1,0.78,,,518595.0,0,4,Bot,664850,8.041007311078786,-130.64885859087968,-5.424201550151544,-11.854922344381418,26.409985745324327,-26.19838529727278,3.67,1.74,R,R,89.9,2029.0,219.0,-0.89,10.68,5.28,-2.35,4.98,90.9,6.9,53.61,-0.1,0.1,0.78,621020,592866,ATL,NYM,Infield shift,Standard,632254,31,1,Sinker,5,0,0,5,0.0,0.055,2021
9,SL,2021-10-03,"Swanson, Dansby",89.1,-8.0,10.0,110.21,157.17,0.154,0.139,0.0,1.0,0.0,0.0,2.0,X,6.0,ground_ball,out,hit_into_play,"Dansby Swanson grounds out, shortstop Francisco Lindor to first baseman Pete Alonso.",1,2,1-2,9,1,0,0,0,0,0,84.7,2307.0,114.0,0.54,-6.48,-1.2000000000000002,-2.31,5.19,85.6,6.6,53.86,-0.31,0.31,1.54,,,,2,2,Bot,664850,5.074938047434027,-123.40444638253015,-2.0465534043752327,4.631333393616883,23.09689699075001,-33.02490990727551,3.41,1.56,R,R,84.7,2307.0,114.0,0.54,-6.48,-1.2000000000000002,-2.31,5.19,85.6,6.6,53.86,-0.31,0.31,1.54,621020,592866,ATL,NYM,Infield shift,Standard,632254,14,5,Slider,2,0,0,2,-0.007,-0.073,2021
