,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,fielder_2,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,is_strike,pitch_count,plate_-x,pfx_-x,swing_miss
0,FF,2021-09-30,94.6,2.52,6.01,"LeMahieu, DJ",518934,592662,out,hit_into_play,4.0,"DJ LeMahieu grounds out, pitcher Robbie Ray to first baseman Vladimir Guerrero.",R,R,L,TOR,NYY,X,1.0,ground_ball,2,2,2021,0.58,16.799999999999997,-0.41,2.26,,,,0,6,Top,125.23,174.2,672386,-8.967140562941038,-137.34425788698297,-7.214463387479521,9.393418350091943,30.57828067621917,-13.014532778610626,3.55,1.63,17.0,97.0,-7.0,94.9,2307.0,6.6,632280,592662,672386,665489,543760,669289,666182,606192,543807,545341,53.9,0.229,0.209,0.0,1.0,0.0,0.0,2.0,42,5,4-Seam Fastball,2,1,1,2,1,2,1,2,Standard,Standard,147.0,0.036,-0.216,1,2-2,0.41,-6.959999999999999,0
1,FF,2021-09-30,93.7,2.27,6.1,"LeMahieu, DJ",518934,592662,,foul,2.0,"DJ LeMahieu grounds out, pitcher Robbie Ray to first baseman Vladimir Guerrero.",R,R,L,TOR,NYY,S,,,2,1,2021,0.64,20.4,-0.23,2.97,,,,0,6,Top,,,672386,-7.898377853368871,-136.02213931759997,-6.038572127501624,9.772864398758127,32.53313143738177,-9.96824727025815,3.55,1.63,198.0,74.6,55.0,93.5,2298.0,6.5,632280,592662,672386,665489,543760,669289,666182,606192,543807,545341,53.99,,,,,,,,42,4,4-Seam Fastball,2,1,1,2,1,2,1,2,Standard,Standard,150.0,0.0,-0.066,1,2-1,0.23,-7.68,0
2,FF,2021-09-30,94.0,2.26,6.08,"LeMahieu, DJ",518934,592662,,called_strike,1.0,"DJ LeMahieu grounds out, pitcher Robbie Ray to first baseman Vladimir Guerrero.",R,R,L,TOR,NYY,S,,,2,0,2021,0.65,19.799999999999997,-0.41,3.49,,,,0,6,Top,,,672386,-8.411681877988086,-136.44923180538305,-4.558145222641032,10.168733675601189,33.39152486410253,-10.871117353311986,3.55,1.73,,,,93.7,2359.0,6.5,632280,592662,672386,665489,543760,669289,666182,606192,543807,545341,53.98,,,,,,,,42,3,4-Seam Fastball,2,1,1,2,1,2,1,2,Standard,Standard,149.0,0.0,-0.067,1,2-0,0.41,-7.800000000000001,0
3,FF,2021-09-30,94.0,2.28,6.08,"LeMahieu, DJ",518934,592662,,ball,11.0,"DJ LeMahieu grounds out, pitcher Robbie Ray to first baseman Vladimir Guerrero.",R,R,L,TOR,NYY,B,,,1,0,2021,0.77,18.48,-0.17,3.71,,,,0,6,Top,,,672386,-8.055412790659613,-136.63065771488922,-3.773609168092193,11.519419924146195,33.46564029975854,-12.3445797098374,3.47,1.66,,,,93.8,2257.0,6.5,632280,592662,672386,665489,543760,669289,666182,606192,543807,545341,54.03,,,,,,,,42,2,4-Seam Fastball,2,1,1,2,1,2,1,2,Standard,Standard,150.0,0.0,0.07,0,1-0,0.17,-9.24,0
4,SL,2021-09-30,87.4,2.47,5.96,"LeMahieu, DJ",518934,592662,,ball,13.0,"DJ LeMahieu grounds out, pitcher Robbie Ray to first baseman Vladimir Guerrero.",R,R,L,TOR,NYY,B,,,0,0,2021,-0.04,8.52,-0.63,1.39,,,,0,6,Top,,,672386,-7.382947350181869,-126.9671866577836,-6.270720667663261,1.2509179455482933,28.16963262395263,-23.35150728427756,3.52,1.66,,,,87.1,2187.0,6.4,632280,592662,672386,665489,543760,669289,666182,606192,543807,545341,54.14,,,,,,,,42,1,Slider,2,1,1,2,1,2,1,2,Standard,Standard,141.0,0.0,0.038,0,0-0,0.63,0.48,0
5,FF,2021-09-30,92.4,2.4,6.29,"LeMahieu, DJ",518934,592662,out,hit_into_play,11.0,DJ LeMahieu flies out to center fielder George Springer.,R,R,L,TOR,NYY,X,8.0,fly_ball,2,1,2021,0.51,18.48,-0.34,3.74,,,,0,3,Top,123.03,101.56,672386,-8.072605102440608,-134.2736882244332,-3.984241444888267,7.965036498464578,30.775084223739483,-12.931349866711267,3.55,1.63,245.0,86.9,51.0,92.2,2330.0,6.4,632280,592662,672386,665489,543760,669289,666182,606192,543807,545341,54.1,0.017,0.018,0.0,1.0,0.0,0.0,3.0,18,4,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Strategic,152.0,0.025,-0.282,1,2-1,0.34,-6.12,0
6,SL,2021-09-30,87.2,2.64,6.0,"LeMahieu, DJ",518934,592662,,ball,13.0,DJ LeMahieu flies out to center fielder George Springer.,R,R,L,TOR,NYY,B,,,1,1,2021,0.51,6.0,-0.79,0.34,,,,0,3,Top,,,672386,-9.280042531880436,-126.41324481036308,-8.383061051302409,7.4549791600974435,27.5975677964262,-25.190564840406235,3.46,1.65,,,,86.9,2192.0,6.5,632280,592662,672386,665489,543760,669289,666182,606192,543807,545341,54.03,,,,,,,,18,3,Slider,1,1,1,1,1,1,1,1,Standard,Standard,129.0,0.0,0.052,0,1-1,0.79,-6.12,0
7,FF,2021-09-30,92.6,2.3,6.12,"LeMahieu, DJ",518934,592662,,ball,13.0,DJ LeMahieu flies out to center fielder George Springer.,R,R,L,TOR,NYY,B,,,0,1,2021,0.44,20.16,-2.22,2.47,,,,0,3,Top,,,672386,-12.489626117886203,-134.07276435767187,-7.093465843655807,8.252031397117998,31.531332328628523,-10.51207505276394,3.43,1.62,,,,92.1,2377.0,6.5,632280,592662,672386,665489,543760,669289,666182,606192,543807,545341,54.02,,,,,,,,18,2,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,146.0,0.0,0.027,0,0-1,2.22,-5.28,0
8,FF,2021-09-30,91.3,2.52,6.21,"LeMahieu, DJ",518934,592662,,called_strike,2.0,DJ LeMahieu flies out to center fielder George Springer.,R,R,L,TOR,NYY,S,,,0,0,2021,0.64,20.28,0.26,3.13,,,,0,3,Top,,,672386,-7.074794335414993,-132.6959308765823,-5.433698628186716,9.231789271739023,31.400465921811435,-11.302131390723536,3.46,1.68,,,,90.9,2349.0,6.4,632280,592662,672386,665489,543760,669289,666182,606192,543807,545341,54.12,,,,,,,,18,1,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,148.0,0.0,-0.038,1,0-0,-0.26,-7.68,0
9,SL,2021-09-30,91.4,2.5,6.09,"LeMahieu, DJ",518934,592662,strikeout,swinging_strike,13.0,DJ LeMahieu strikes out swinging.,R,R,L,TOR,NYY,S,2.0,,2,2,2021,0.11,7.32,-0.87,1.43,,,,0,1,Top,,,672386,-8.730469159488749,-132.76193634424197,-7.127244029592621,3.173877693573304,29.27328835105728,-23.588800606031548,3.55,1.63,,,,91.3,2203.0,6.4,632280,592662,672386,665489,543760,669289,666182,606192,543807,545341,54.1,,,0.0,1.0,0.0,0.0,,1,6,Slider,0,0,0,0,0,0,0,0,Strategic,Strategic,138.0,0.022,-0.216,1,2-2,0.87,-1.32,1
