,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,fielder_2,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,is_strike,pitch_count,plate_-x,pfx_-x,swing_miss
0,CH,2021-09-29,90.3,-1.83,5.55,"Cole, Gerrit",624512,543037,out,hit_into_play,4,Reese McGuire flies out to center fielder Brett Gardner.,R,L,R,TOR,NYY,X,8.0,fly_ball,1,1,2021,-1.24,8.64,-0.49,2.15,,,669289.0,2,6,Bot,118.83,87.48,543309,6.015334770751189,-131.28039138764652,-4.011455825348989,-15.614874751497869,29.85146902531743,-23.248081490115887,3.37,1.53,264.0,84.0,46.0,90.7,1571.0,6.7,632296,543037,543309,519203,650402,518934,570482,608336,458731,592450,53.75,0.014,0.017,0.0,1.0,0.0,0.0,3.0,49,3,Changeup,5,3,5,3,3,5,5,3,Standard,Standard,243.0,-0.014,-0.215,1,1-1,0.49,14.879999999999999,0
1,CH,2021-09-29,89.4,-1.78,5.57,"Cole, Gerrit",624512,543037,,foul,5,Reese McGuire flies out to center fielder Brett Gardner.,R,L,R,TOR,NYY,S,,,1,0,2021,-1.6,4.199999999999999,0.23,2.62,,,669289.0,2,6,Bot,,,543309,8.390092348815163,-129.91746920359228,-1.924524395938767,-19.92177763128073,29.60867657610883,-28.05748307240733,3.37,1.53,,,,89.5,1807.0,6.6,632296,543037,543309,519203,650402,518934,570482,608336,458731,592450,53.86,,,,,,,,49,2,Changeup,5,3,5,3,3,5,5,3,Standard,Standard,240.0,0.0,-0.048,1,1-0,-0.23,19.200000000000003,0
2,FF,2021-09-29,97.4,-1.86,5.71,"Cole, Gerrit",624512,543037,,ball,11,Reese McGuire flies out to center fielder Brett Gardner.,R,L,R,TOR,NYY,B,,,0,0,2021,-1.33,16.919999999999998,-1.53,3.53,,,669289.0,2,6,Bot,,,543309,3.941159696859974,-141.5750772682256,-3.4459815105064995,-18.668495363335754,39.141267674609125,-12.832532983037318,3.54,1.53,,,,96.5,2428.0,6.3,632296,543037,543309,519203,650402,518934,570482,608336,458731,592450,54.17,,,,,,,,49,1,4-Seam Fastball,5,3,5,3,3,5,5,3,Standard,Standard,224.0,0.0,0.036,0,0-0,1.53,15.96,0
3,SL,2021-09-29,87.5,-1.73,5.75,"Cole, Gerrit",669289,543037,single,hit_into_play,5,Santiago Espinal singles on a line drive to left fielder Joey Gallo.,R,R,R,TOR,NYY,X,7.0,line_drive,0,1,2021,0.53,-2.52,0.23,2.29,,,,2,6,Bot,92.33,89.15,543309,3.614514262306902,-127.41848428060815,-1.7422738883264253,4.92101321694258,28.780383430009383,-34.245832932387195,3.3,1.5,241.0,91.1,13.0,87.0,2539.0,6.1,632296,543037,543309,519203,650402,518934,570482,608336,458731,592450,54.36,0.911,0.866,0.9,1.0,1.0,0.0,4.0,48,2,Slider,5,3,5,3,3,5,5,3,Standard,Standard,75.0,0.007,0.139,1,0-1,-0.23,-6.36,0
4,SL,2021-09-29,87.9,-1.66,5.85,"Cole, Gerrit",669289,543037,,called_strike,5,Santiago Espinal singles on a line drive to left fielder Joey Gallo.,R,R,R,TOR,NYY,S,,,0,0,2021,0.21,-0.12,0.21,2.27,,,,2,6,Bot,,,543309,4.093813774209317,-127.96447950502584,-2.5016128921757748,1.338990555748848,28.401824579412164,-31.982164760689304,3.33,1.5,,,,87.6,2476.0,6.3,632296,543037,543309,519203,650402,518934,570482,608336,458731,592450,54.23,,,,,,,,48,1,Slider,5,3,5,3,3,5,5,3,Standard,Standard,125.0,0.0,-0.018,1,0-0,-0.21,-2.52,0
5,SL,2021-09-29,88.0,-1.9,5.76,"Cole, Gerrit",572816,543037,out,hit_into_play,5,Corey Dickerson lines out to left fielder Joey Gallo.,R,L,R,TOR,NYY,X,7.0,line_drive,0,0,2021,0.41,0.0,0.22,2.5,,,,1,6,Bot,89.53,91.63,543309,4.292753089970075,-128.1468941267335,-1.7874876354915084,3.5234925412819984,27.69354396264817,-32.02363247745821,3.41,1.56,283.0,83.1,28.0,87.9,2587.0,6.3,632296,543037,543309,519203,650402,518934,570482,608336,458731,592450,54.2,0.089,0.101,0.0,1.0,0.0,0.0,3.0,47,1,Slider,5,3,5,3,3,5,5,3,Standard,Standard,105.0,-0.009,-0.163,1,0-0,-0.22,-4.92,0
6,FF,2021-09-29,97.5,-1.67,5.78,"Cole, Gerrit",666971,543037,out,hit_into_play,14,"Lourdes Gurriel grounds out, shortstop Gio Urshela to first baseman Anthony Rizzo.",R,R,R,TOR,NYY,X,6.0,ground_ball,2,2,2021,-0.77,18.48,0.93,2.14,,,,0,6,Bot,123.14,144.27,543309,8.771231511974673,-141.4223380656816,-7.695375777627145,-12.640104111399769,39.53049687677674,-9.885724147337925,3.55,1.63,5.0,75.8,-21.0,96.6,2412.0,6.5,632296,543037,543309,519203,650402,518934,570482,608336,458731,592450,54.01,0.074,0.085,0.0,1.0,0.0,0.0,2.0,46,5,4-Seam Fastball,5,3,5,3,3,5,5,3,Standard,Standard,216.0,-0.012,-0.216,1,2-2,-0.93,9.24,0
7,SL,2021-09-29,87.7,-1.8,5.74,"Cole, Gerrit",666971,543037,,called_strike,9,"Lourdes Gurriel grounds out, shortstop Gio Urshela to first baseman Anthony Rizzo.",R,R,R,TOR,NYY,S,,,2,1,2021,0.55,-5.64,0.71,1.67,,,,0,6,Bot,,,543309,4.917144588005365,-127.51694958521485,-2.6432378991303658,4.798834543713299,30.083808538667807,-36.850420828096816,3.45,1.63,,,,87.3,2581.0,6.4,632296,543037,543309,519203,650402,518934,570482,608336,458731,592450,54.09,,,,,,,,46,4,Slider,5,3,5,3,3,5,5,3,Standard,Standard,91.0,0.0,-0.066,1,2-1,-0.71,-6.6000000000000005,0
8,KC,2021-09-29,82.7,-1.51,5.86,"Cole, Gerrit",666971,543037,,ball,14,"Lourdes Gurriel grounds out, shortstop Gio Urshela to first baseman Anthony Rizzo.",R,R,R,TOR,NYY,B,,,1,1,2021,1.24,-13.200000000000001,0.93,0.84,,,,0,6,Bot,,,543309,3.13270252261462,-120.19976582883186,-2.620025032530781,11.031531624689585,29.098364303037435,-42.29264428643924,3.45,1.63,,,,82.0,2773.0,6.4,632296,543037,543309,519203,650402,518934,570482,608336,458731,592450,54.06,,,,,,,,46,3,Knuckle Curve,5,3,5,3,3,5,5,3,Standard,Standard,33.0,0.0,0.052,0,1-1,-0.93,-14.879999999999999,0
9,FF,2021-09-29,95.5,-1.57,5.77,"Cole, Gerrit",666971,543037,,swinging_strike,3,"Lourdes Gurriel grounds out, shortstop Gio Urshela to first baseman Anthony Rizzo.",R,R,R,TOR,NYY,S,,,1,0,2021,-0.55,21.72,0.58,3.43,,,,0,6,Bot,,,543309,6.916755207575142,-138.753052258563,-4.530865036638124,-8.863356971989779,36.78230305371047,-8.086294764872,3.55,1.63,,,,95.1,2384.0,6.5,632296,543037,543309,519203,650402,518934,570482,608336,458731,592450,53.96,,,,,,,,46,2,4-Seam Fastball,5,3,5,3,3,5,5,3,Standard,Standard,206.0,0.0,-0.049,1,1-0,-0.58,6.6000000000000005,1
10,FF,2021-09-29,95.6,-1.67,5.73,"Cole, Gerrit",666971,543037,,ball,14,"Lourdes Gurriel grounds out, shortstop Gio Urshela to first baseman Anthony Rizzo.",R,R,R,TOR,NYY,B,,,0,0,2021,-0.75,17.88,0.51,1.22,,,,0,6,Bot,,,543309,7.459931612041934,-138.63703131156987,-9.521415533539468,-11.567139081551728,37.07604417190432,-10.839819032788496,3.53,1.63,,,,95.1,2427.0,6.6,632296,543037,543309,519203,650402,518934,570482,608336,458731,592450,53.86,,,,,,,,46,1,4-Seam Fastball,5,3,5,3,3,5,5,3,Standard,Standard,212.0,0.0,0.038,0,0-0,-0.51,9.0,0
11,FF,2021-09-29,97.3,-1.53,5.78,"Cole, Gerrit",606192,543037,out,hit_into_play,4,Teoscar Hernandez flies out to center fielder Brett Gardner.,R,R,R,TOR,NYY,X,8.0,fly_ball,1,0,2021,-0.88,18.12,-0.41,2.5,,665489.0,,2,5,Bot,161.62,69.21,543309,5.035155748509881,-141.38404521935675,-6.681011485341266,-13.01536039774583,37.03553507878749,-10.66965898346626,3.47,1.59,334.0,98.2,42.0,97.0,2478.0,6.5,632296,543037,543309,519203,650402,518934,570482,608336,458731,592450,53.96,0.074,0.135,0.0,1.0,0.0,0.0,3.0,41,2,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,214.0,-0.014,-0.343,1,1-0,0.41,10.56,0
12,SL,2021-09-29,88.8,-1.68,5.74,"Cole, Gerrit",606192,543037,,ball,14,Teoscar Hernandez flies out to center fielder Brett Gardner.,R,R,R,TOR,NYY,B,,,0,0,2021,0.45,0.36,0.77,1.33,,665489.0,,2,5,Bot,,,543309,5.064083855075171,-129.1721430526202,-4.844904271787126,3.945311501483428,26.62830620694626,-30.984092603703,3.34,1.59,,,,89.2,2647.0,6.5,632296,543037,543309,519203,650402,518934,570482,608336,458731,592450,53.98,,,,,,,,41,1,Slider,5,2,5,2,2,5,5,2,Standard,Standard,163.0,0.0,0.025,0,0-0,-0.77,-5.4,0
13,KC,2021-09-29,84.7,-1.58,5.87,"Cole, Gerrit",666182,543037,strikeout,swinging_strike,14,Bo Bichette strikes out swinging.,R,R,R,TOR,NYY,S,2.0,,0,2,2021,1.02,-14.64,1.72,1.46,,665489.0,,1,5,Bot,,,543309,5.655102517159891,-123.03784012810168,-1.3362725271922802,8.844530731027149,30.07103298124366,-44.29271226709309,3.37,1.53,,,,84.0,2884.0,6.5,632296,543037,543309,519203,650402,518934,570482,608336,458731,592450,54.04,,,0.0,1.0,0.0,0.0,,40,4,Knuckle Curve,5,2,5,2,2,5,5,2,Standard,Standard,32.0,-0.014,-0.23,1,0-2,-1.72,-12.24,1
14,SL,2021-09-29,89.7,-1.74,5.75,"Cole, Gerrit",666182,543037,,foul,14,Bo Bichette strikes out swinging.,R,R,R,TOR,NYY,S,,,0,2,2021,0.56,0.24,1.27,1.88,,665489.0,,1,5,Bot,,,543309,6.270511709684016,-130.46288659701315,-3.568820210040957,4.992892882508019,28.761145405314096,-31.405565777737124,3.37,1.53,203.0,70.3,45.0,89.8,2630.0,6.5,632296,543037,543309,519203,650402,518934,570482,608336,458731,592450,54.03,,,,,,,,40,3,Slider,5,2,5,2,2,5,5,2,Standard,Standard,121.0,0.0,0.0,1,0-2,-1.27,-6.720000000000001,0
15,FF,2021-09-29,98.3,-1.86,5.54,"Cole, Gerrit",666182,543037,,called_strike,7,Bo Bichette strikes out swinging.,R,R,R,TOR,NYY,S,,,0,1,2021,-1.36,16.799999999999997,-0.33,1.9,,665489.0,,1,5,Bot,,,543309,7.330605177658501,-142.8373350176865,-7.635257366664393,-20.2820582781672,34.78963797880412,-11.406040154713327,3.67,1.53,,,,98.5,2354.0,6.6,632296,543037,543309,519203,650402,518934,570482,608336,458731,592450,53.89,,,,,,,,40,2,4-Seam Fastball,5,2,5,2,2,5,5,2,Standard,Standard,219.0,0.0,-0.079,1,0-1,0.33,16.32,0
