,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,fielder_2,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,is_strike,pitch_count,plate_-x,pfx_-x,swing_miss
0,FF,2021-10-03,95.9,-1.78,6.35,"Stanton, Giancarlo",519317,608379,out,hit_into_play,7.0,Giancarlo Stanton flies out to right fielder Randy Arozarena.,R,R,R,NYY,TB,X,9.0,fly_ball,2,2,2021,-0.89,14.16,-0.69,2.2,,,650402.0,2,4,Bot,181.19,120.39,572287,4.936664378550439,-139.5026971499293,-8.110467734301984,-12.687336655042012,30.485720512933845,-15.110574188444168,3.66,1.68,278.0,85.4,28.0,96.8,2024.0,6.8,632239,608379,572287,596847,664040,621563,677551,640457,595281,668227,53.73,0.071,0.086,0.0,1.0,0.0,0.0,3.0,30,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,210.0,-0.028,-0.192,1,2-2,0.69,10.68,0
1,FF,2021-10-03,96.1,-1.72,6.31,"Stanton, Giancarlo",519317,608379,,ball,11.0,Giancarlo Stanton flies out to right fielder Randy Arozarena.,R,R,R,NYY,TB,B,,,1,2,2021,-0.61,18.12,-0.51,4.88,,,650402.0,2,4,Bot,,,572287,4.630124597210483,-139.8664338073677,-1.6073197251391231,-9.063359139598566,31.957645305810296,-12.24069468801849,3.8,1.9,,,,96.8,2238.0,6.7,632239,608379,572287,596847,664040,621563,677551,640457,595281,668227,53.81,,,,,,,,30,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,209.0,0.0,0.037,0,1-2,0.51,7.32,0
2,CH,2021-10-03,89.3,-1.68,6.34,"Stanton, Giancarlo",519317,608379,,foul,13.0,Giancarlo Stanton flies out to right fielder Randy Arozarena.,R,R,R,NYY,TB,S,,,1,2,2021,-1.17,6.6000000000000005,-1.57,2.46,,,650402.0,2,4,Bot,,,572287,2.784450662956167,-129.9693799776525,-4.734268826580205,-13.881570334365694,27.041032028884047,-25.157723151605065,3.66,1.68,182.0,77.0,16.0,90.1,1686.0,6.7,632239,608379,572287,596847,664040,621563,677551,640457,595281,668227,53.77,,,,,,,,30,4,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,244.0,0.0,0.0,1,1-2,1.57,14.04,0
3,FF,2021-10-03,96.5,-1.71,6.32,"Stanton, Giancarlo",519317,608379,,ball,11.0,Giancarlo Stanton flies out to right fielder Randy Arozarena.,R,R,R,NYY,TB,B,,,0,2,2021,-0.51,19.799999999999997,-0.61,5.27,,,650402.0,2,4,Bot,,,572287,4.119639207475772,-140.52881035305208,-0.9994193631349392,-7.6690991931675505,32.09778932352214,-10.27685413824558,3.74,1.87,,,,97.0,2206.0,6.5,632239,608379,572287,596847,664040,621563,677551,640457,595281,668227,53.98,,,,,,,,30,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,204.0,0.0,0.017,0,0-2,0.61,6.12,0
4,SI,2021-10-03,95.5,-1.69,6.25,"Stanton, Giancarlo",519317,608379,,foul,1.0,Giancarlo Stanton flies out to right fielder Randy Arozarena.,R,R,R,NYY,TB,S,,,0,1,2021,-1.19,13.440000000000001,-0.81,3.76,,,650402.0,2,4,Bot,,,572287,5.036266983305451,-139.02625513416083,-3.4880950789998075,-16.515008105296843,30.38580225117829,-17.117730608559096,3.66,1.68,151.0,65.5,58.0,96.2,2154.0,6.6,632239,608379,572287,596847,664040,621563,677551,640457,595281,668227,53.91,,,,,,,,30,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,212.0,0.0,-0.047,1,0-1,0.81,14.28,0
5,SI,2021-10-03,95.4,-1.63,6.29,"Stanton, Giancarlo",519317,608379,,swinging_strike,11.0,Giancarlo Stanton flies out to right fielder Randy Arozarena.,R,R,R,NYY,TB,S,,,0,0,2021,-1.1,14.16,-0.84,3.25,,,650402.0,2,4,Bot,,,572287,4.591358981816884,-138.8338578950784,-5.083392961997282,-15.21435445397141,29.424160456888515,-15.930298658998376,3.66,1.68,,,,96.4,2064.0,6.7,632239,608379,572287,596847,664040,621563,677551,640457,595281,668227,53.77,,,,,,,,30,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,211.0,0.0,-0.041,1,0-0,0.84,13.200000000000001,1
6,CH,2021-10-03,89.3,-1.76,6.45,"Stanton, Giancarlo",519317,608379,out,hit_into_play,13.0,"Giancarlo Stanton grounds out softly, catcher Mike Zunino to first baseman Ji-Man Choi.",R,R,R,NYY,TB,X,2.0,ground_ball,2,2,2021,-1.19,12.0,-1.11,1.56,,,,0,2,Bot,123.48,199.9,572287,4.116356278043276,-129.6935940535504,-8.075502979094916,-14.251291812904189,28.7975619613645,-19.377689902540617,3.66,1.68,0.0,50.4,-78.0,89.2,1648.0,6.5,632239,608379,572287,596847,664040,621563,677551,640457,595281,668227,54.04,0.14,0.126,0.0,1.0,0.0,0.0,1.0,11,5,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,238.0,-0.023,-0.216,1,2-2,1.11,14.28,0
7,CH,2021-10-03,87.5,-1.69,6.37,"Stanton, Giancarlo",519317,608379,,ball,13.0,"Giancarlo Stanton grounds out softly, catcher Mike Zunino to first baseman Ji-Man Choi.",R,R,R,NYY,TB,B,,,1,2,2021,-1.26,7.92,-1.15,0.26,,,,0,2,Bot,,,572287,3.919829149059716,-126.96219872287324,-9.925029561181354,-14.418288774532394,27.82598267101151,-23.056904266223277,3.69,1.86,,,,87.5,1692.0,6.6,632239,608379,572287,596847,664040,621563,677551,640457,595281,668227,53.87,,,,,,,,11,4,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,237.0,0.0,0.043,0,1-2,1.15,15.120000000000001,0
8,SI,2021-10-03,94.8,-1.82,6.3,"Stanton, Giancarlo",519317,608379,,called_strike,8.0,"Giancarlo Stanton grounds out softly, catcher Mike Zunino to first baseman Ji-Man Choi.",R,R,R,NYY,TB,S,,,1,1,2021,-1.15,15.72,-0.15,1.77,,,,0,2,Bot,,,572287,6.994795470251242,-137.6306402181688,-9.1050675248104,-16.233728260061387,31.414076382620383,-13.64000198855044,3.82,1.82,,,,95.3,2091.0,6.8,632239,608379,572287,596847,664040,621563,677551,640457,595281,668227,53.75,,,,,,,,11,3,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,209.0,0.0,-0.057,1,1-1,0.15,13.799999999999999,0
9,CU,2021-10-03,77.4,-1.68,6.45,"Stanton, Giancarlo",519317,608379,,ball,14.0,"Giancarlo Stanton grounds out softly, catcher Mike Zunino to first baseman Ji-Man Choi.",R,R,R,NYY,TB,B,,,0,1,2021,0.91,-8.64,1.28,1.46,,,,0,2,Bot,,,572287,4.685135151370741,-112.55835520939846,-2.2733423581855203,6.658565933949616,23.299653509556155,-38.023547332292296,3.73,1.8,,,,77.4,2246.0,6.6,632239,608379,572287,596847,664040,621563,677551,640457,595281,668227,53.88,,,,,,,,11,2,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,33.0,0.0,0.027,0,0-1,-1.28,-10.92,0
