,pitch_type,game_date,player_name,launch_speed,launch_angle,hit_distance_sc,hc_x,hc_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,type,hit_location,bb_type,events,description,des,balls,strikes,pitch_count,zone,is_strike,swing_miss,first_pitch_take,first_pitch_swing,in_zone_take,out_of_zone_chase,release_speed,release_spin_rate,spin_axis,pfx_x,pfx_-x,pfx_z,release_pos_x,release_pos_z,effective_speed,release_extension,release_pos_y,plate_-x,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,fielder_2,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,stand,p_throws,release_speed,release_spin_rate,spin_axis,pfx_x,pfx_-x,pfx_z,release_pos_x,release_pos_z,effective_speed,release_extension,release_pos_y,plate_-x,plate_x,plate_z,batter,pitcher,home_team,away_team,if_fielding_alignment,of_fielding_alignment,game_pk,at_bat_number,pitch_number,pitch_name,home_score,away_score,post_away_score,post_home_score,delta_home_win_exp,delta_run_exp,game_year
0,CH,2021-10-03,"Gallo, Joey",,,,,,,,0.7,1.0,0.0,0.0,,B,,,walk,ball,Joey Gallo walks.,3,2,3-2,13.0,0,0,0,0,0,0,88.2,1728.0,238.0,-1.25,15.0,10.44,-1.68,6.43,88.1,6.5,54.0,0.22,-0.22,0.85,,,,0,5,Bot,572287,6.170261119454673,-127.96397606592964,-9.239342723837314,-15.024134075855509,27.41192726264594,-20.82409618427525,3.43,1.68,L,R,88.2,1728.0,238.0,-1.25,15.0,10.44,-1.68,6.43,88.1,6.5,54.0,0.22,-0.22,0.85,608336,608379,NYY,TB,Infield shift,4th outfielder,632239,34,6,Changeup,0,0,0,0,0.047,0.329,2021
1,CH,2021-10-03,"Gallo, Joey",,,,,,,,,,,,,B,,,,ball,Joey Gallo walks.,2,2,2-2,13.0,0,0,0,0,0,0,87.6,1712.0,244.0,-1.46,17.52,5.88,-1.62,6.39,87.2,6.4,54.08,1.5,-1.5,0.81,,,,0,5,Bot,572287,3.321953999601873,-127.2644385898247,-8.279582147925936,-16.517043432871883,29.25551874661265,-25.181798936779007,3.53,1.68,L,R,87.6,1712.0,244.0,-1.46,17.52,5.88,-1.62,6.39,87.2,6.4,54.08,1.5,-1.5,0.81,608336,608379,NYY,TB,Infield shift,4th outfielder,632239,34,5,Changeup,0,0,0,0,0.0,0.101,2021
2,FF,2021-10-03,"Gallo, Joey",81.2,10.0,138.0,,,,,,,,,,S,,,,foul,Joey Gallo walks.,2,1,2-1,2.0,1,0,0,0,0,0,94.2,2184.0,209.0,-0.57,6.84,18.84,-1.77,6.37,94.3,6.5,53.96,0.25,-0.25,3.06,,,,0,5,Bot,572287,5.206740782489481,-136.97449412873684,-6.3587207688231375,-8.320365858988438,32.12142115903044,-11.26459220454285,3.58,1.68,L,R,94.2,2184.0,209.0,-0.57,6.84,18.84,-1.77,6.37,94.3,6.5,53.96,0.25,-0.25,3.06,608336,608379,NYY,TB,Strategic,4th outfielder,632239,34,4,4-Seam Fastball,0,0,0,0,0.0,-0.066,2021
3,CH,2021-10-03,"Gallo, Joey",,,,,,,,,,,,,B,,,,ball,Joey Gallo walks.,1,1,1-1,13.0,0,0,0,0,0,0,86.4,1640.0,240.0,-1.05,12.600000000000001,9.600000000000001,-1.75,6.5,86.4,6.5,54.03,1.22,-1.22,2.25,,,,0,5,Bot,572287,3.427471097484565,-125.65279816647582,-5.49002190592958,-11.833652501683693,27.118601340100685,-22.759015311053,3.54,1.68,L,R,86.4,1640.0,240.0,-1.05,12.600000000000001,9.600000000000001,-1.75,6.5,86.4,6.5,54.03,1.22,-1.22,2.25,608336,608379,NYY,TB,Strategic,4th outfielder,632239,34,3,Changeup,0,0,0,0,0.0,0.052,2021
4,CH,2021-10-03,"Gallo, Joey",,,,,,,,,,,,,S,,,,swinging_strike,Joey Gallo walks.,1,0,1-0,7.0,1,1,0,0,0,0,87.2,1602.0,237.0,-0.84,10.08,9.72,-1.75,6.45,87.3,6.5,54.03,0.38,-0.38,2.1,,,,0,5,Bot,572287,5.034015892247117,-126.85017340258617,-5.938573148366689,-10.087662370370309,26.927284516093504,-22.44604011271157,3.58,1.68,L,R,87.2,1602.0,237.0,-0.84,10.08,9.72,-1.75,6.45,87.3,6.5,54.03,0.38,-0.38,2.1,608336,608379,NYY,TB,Strategic,4th outfielder,632239,34,2,Changeup,0,0,0,0,0.0,-0.049,2021
5,CU,2021-10-03,"Gallo, Joey",,,,,,,,,,,,,B,,,,ball,Joey Gallo walks.,0,0,0-0,2.0,0,0,0,0,0,0,76.2,2185.0,35.0,1.1,-13.200000000000001,-5.88,-2.13,6.49,76.5,6.5,53.99,-0.08,0.08,3.28,,,,0,5,Bot,572287,2.6846142412432377,-110.9031320339715,1.212164557017951,8.560144968492697,20.14396491732628,-36.61387419597848,3.38,1.56,L,R,76.2,2185.0,35.0,1.1,-13.200000000000001,-5.88,-2.13,6.49,76.5,6.5,53.99,-0.08,0.08,3.28,608336,608379,NYY,TB,Strategic,4th outfielder,632239,34,1,Curveball,0,0,0,0,0.0,0.038,2021
6,CH,2021-10-03,"Gallo, Joey",100.6,45.0,342.0,128.53,60.51,0.054,0.089,0.0,1.0,0.0,0.0,3.0,X,8.0,fly_ball,out,hit_into_play,Joey Gallo flies out sharply to center fielder Kevin Kiermaier.,0,1,0-1,8.0,1,0,0,0,0,0,88.4,1725.0,234.0,-0.96,11.52,12.600000000000001,-1.49,6.53,88.6,6.4,54.07,-0.2,0.2,2.0,,,,1,2,Bot,572287,6.131340031454729,-128.45057468347184,-7.143950357446872,-11.893330583101896,26.17622295228472,-19.27929210664088,3.58,1.68,L,R,88.4,1725.0,234.0,-0.96,11.52,12.600000000000001,-1.49,6.53,88.6,6.4,54.07,-0.2,0.2,2.0,608336,608379,NYY,TB,Strategic,4th outfielder,632239,12,2,Changeup,0,0,0,0,-0.016,-0.136,2021
7,FF,2021-10-03,"Gallo, Joey",78.3,9.0,111.0,,,,,,,,,,S,,,,foul,Joey Gallo flies out sharply to center fielder Kevin Kiermaier.,0,0,0-0,13.0,1,0,0,1,0,0,94.2,2023.0,209.0,-0.65,7.800000000000001,15.0,-1.69,6.52,94.4,6.6,53.92,0.16,-0.16,1.53,,,,1,2,Bot,572287,5.42636041995192,-136.79415596955823,-10.02647399320443,-9.415740458751785,31.31642352086808,-14.385589138992648,3.58,1.68,L,R,94.2,2023.0,209.0,-0.65,7.800000000000001,15.0,-1.69,6.52,94.4,6.6,53.92,0.16,-0.16,1.53,608336,608379,NYY,TB,Strategic,4th outfielder,632239,12,1,4-Seam Fastball,0,0,0,0,0.0,-0.027,2021
8,SL,2021-10-03,"Gallo, Joey",,,,,,,,0.0,1.0,0.0,0.0,,S,2.0,,strikeout,called_strike,Joey Gallo called out on strikes.,0,2,0-2,7.0,1,0,0,0,1,0,81.0,2856.0,55.0,1.36,-16.32,-6.0,-2.45,5.23,81.1,6.5,54.05,0.53,-0.53,1.66,,,,2,7,Bot,572287,1.699285966938757,-117.909253652607,-0.3449933163853808,12.331132299056431,23.296662834494004,-36.97843088357499,3.45,1.54,L,R,81.0,2856.0,55.0,1.36,-16.32,-6.0,-2.45,5.23,81.1,6.5,54.05,0.53,-0.53,1.66,608336,543521,NYY,TB,Infield shift,4th outfielder,632239,51,3,Slider,0,0,0,0,-0.02,-0.061,2021
9,FC,2021-10-03,"Gallo, Joey",,,,,,,,,,,,,S,,,,swinging_strike,Joey Gallo called out on strikes.,0,1,0-1,1.0,1,1,0,0,0,0,90.8,2526.0,210.0,-0.18,2.16,8.28,-2.19,5.44,91.9,6.7,53.85,0.53,-0.53,3.6,,,,2,7,Bot,572287,4.546185757360347,-132.3430911763805,-0.2329814120738909,-2.952444458912077,25.363342944365645,-24.16833897566537,3.58,1.68,L,R,90.8,2526.0,210.0,-0.18,2.16,8.28,-2.19,5.44,91.9,6.7,53.85,0.53,-0.53,3.6,608336,543521,NYY,TB,Strategic,4th outfielder,632239,51,2,Cutter,0,0,0,0,0.0,-0.024,2021
