,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,fielder_2,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,is_strike,pitch_count,plate_-x,pfx_-x,swing_miss
0,SL,2019-06-22,81.8,-2.53,6.23,"Hicks, Jordan",664058,663855,strikeout,swinging_strike,7.0,David Fletcher strikes out swinging.,R,R,R,STL,LAA,S,2.0,,2,2,2019,0.73,-7.800000000000001,-0.28,1.89,,,,1,9,Top,,,425877,3.65529363979029,-118.971018676314,-2.03459045974242,6.11339052341879,21.1057095537419,-38.0474219591577,3.12,1.52,,,,80.9,2327.0,5.5,566606,663855,425877,502671,543939,572761,657557,542303,664056,451594,54.99,,,0.0,1.0,0.0,0.0,,65,6,Slider,4,2,2,4,2,4,2,4,Standard,Standard,49.0,0.023,-0.156,1,2-2,0.28,-8.76,1
1,SI,2019-06-22,99.8,-2.4,6.47,"Hicks, Jordan",664058,663855,,foul,1.0,David Fletcher strikes out swinging.,R,R,R,STL,LAA,S,,,2,2,2019,-1.34,10.68,-0.34,2.72,,,,1,9,Top,,,425877,8.63123097313704,-144.959937318576,-6.95976952180737,-20.4625987708737,29.7980229320936,-18.5277210088301,3.2,1.52,,,,99.2,2065.0,5.8,566606,663855,425877,502671,543939,572761,657557,542303,664056,451594,54.71,,,,,,,,65,5,Sinker,4,2,2,4,2,4,2,4,Standard,Standard,236.0,0.0,0.0,1,2-2,0.34,16.080000000000002,0
2,SL,2019-06-22,84.8,-2.61,6.35,"Hicks, Jordan",664058,663855,,ball,14.0,David Fletcher strikes out swinging.,R,R,R,STL,LAA,B,,,1,2,2019,0.62,-9.0,1.19,1.37,,,,1,9,Top,,,425877,7.56444758877554,-123.156101007345,-3.82142436852505,4.79848885807013,22.4542235750494,-39.1485971461259,3.16,1.52,,,,83.7,2549.0,5.5,566606,663855,425877,502671,543939,572761,657557,542303,664056,451594,54.98,,,,,,,,65,4,Slider,4,2,2,4,2,4,2,4,Standard,Standard,40.0,0.0,0.031,0,1-2,-1.19,-7.4399999999999995,0
3,SL,2019-06-22,84.4,-2.48,6.36,"Hicks, Jordan",664058,663855,,called_strike,13.0,David Fletcher strikes out swinging.,R,R,R,STL,LAA,S,,,1,1,2019,0.9,-4.800000000000001,-0.85,2.11,,,,1,9,Top,,,425877,2.02404256656576,-122.883460979519,-2.82270038497799,8.62130710859894,21.5780415979783,-35.8483273538851,3.15,1.52,,,,83.8,2453.0,5.6,566606,663855,425877,502671,543939,572761,657557,542303,664056,451594,54.92,,,,,,,,65,3,Slider,4,2,2,4,2,4,2,4,Standard,Standard,66.0,0.0,-0.044,1,1-1,0.85,-10.8,0
4,SI,2019-06-22,100.4,-2.36,6.37,"Hicks, Jordan",664058,663855,,called_strike,6.0,David Fletcher strikes out swinging.,R,R,R,STL,LAA,S,,,1,0,2019,-1.06,14.28,0.47,2.63,,,,1,9,Top,,,425877,10.3637532219299,-145.832713249558,-7.86847341460577,-17.5029640690082,30.5535711911281,-13.4915677654554,3.14,1.52,,,,101.0,1997.0,6.5,566606,663855,425877,502671,543939,572761,657557,542303,664056,451594,54.0,,,,,,,,65,2,Sinker,4,2,2,4,2,4,2,4,Standard,Standard,222.0,0.0,-0.037,1,1-0,-0.47,12.72,0
5,SL,2019-06-22,84.0,-2.65,6.32,"Hicks, Jordan",664058,663855,,ball,11.0,David Fletcher strikes out swinging.,R,R,R,STL,LAA,B,,,0,0,2019,0.67,-5.64,-0.6,3.72,,,,1,9,Top,,,425877,3.40232025589377,-122.220505591665,1.21396671040722,5.98140538232578,21.8359205032167,-37.2858480617904,3.14,1.52,,,,83.4,2530.0,5.7,566606,663855,425877,502671,543939,572761,657557,542303,664056,451594,54.8,,,,,,,,65,1,Slider,4,2,2,4,2,4,2,4,Standard,Standard,55.0,0.0,0.028,0,0-0,0.6,-8.040000000000001,0
6,SI,2019-06-22,99.8,-2.33,6.43,"Hicks, Jordan",405395,663855,out,hit_into_play,3.0,"Albert Pujols grounds out, second baseman Kolten Wong to first baseman Paul Goldschmidt.",R,R,R,STL,LAA,X,4.0,ground_ball,2,1,2019,-1.32,9.0,0.49,3.09,,,,0,9,Top,145.37,161.36,425877,10.8242940908032,-144.861090633978,-5.5449379830956,-20.9586652045316,31.925005074384,-20.5401856244242,3.28,1.59,13.0,96.2,-13.0,99.8,1842.0,6.3,566606,663855,425877,502671,543939,572761,657557,542303,664056,451594,54.21,0.2,0.203,0.0,1.0,0.0,0.0,2.0,64,4,Sinker,4,2,2,4,2,4,2,4,Standard,Standard,240.0,0.037,-0.29,1,2-1,-0.49,15.84,0
7,SI,2019-06-22,99.7,-2.31,6.4,"Hicks, Jordan",405395,663855,,called_strike,11.0,"Albert Pujols grounds out, second baseman Kolten Wong to first baseman Paul Goldschmidt.",R,R,R,STL,LAA,S,,,2,0,2019,-1.28,7.199999999999999,-0.1,3.26,,,,0,9,Top,,,425877,8.99908570418527,-144.824675346709,-4.58280445863564,-19.9370888410135,33.7644642768025,-22.9591368612922,3.02,1.44,,,,99.3,1871.0,6.2,566606,663855,425877,502671,543939,572761,657557,542303,664056,451594,54.33,,,,,,,,64,3,Sinker,4,2,2,4,2,4,2,4,Standard,Standard,245.0,0.0,-0.063,1,2-0,0.1,15.36,0
8,SL,2019-06-22,83.7,-2.57,6.3,"Hicks, Jordan",405395,663855,,ball,11.0,"Albert Pujols grounds out, second baseman Kolten Wong to first baseman Paul Goldschmidt.",R,R,R,STL,LAA,B,,,1,0,2019,1.02,-6.24,-0.43,4.26,,,,0,9,Top,,,425877,2.95121184960026,-121.734625328629,2.65576025305322,9.41782883225967,23.0044765668578,-37.952118282781,3.32,1.59,,,,83.1,2372.0,5.8,566606,663855,425877,502671,543939,572761,657557,542303,664056,451594,54.69,,,,,,,,64,2,Slider,4,2,2,4,2,4,2,4,Standard,Standard,63.0,0.0,0.068,0,1-0,0.43,-12.24,0
9,SI,2019-06-22,99.6,-2.41,6.48,"Hicks, Jordan",405395,663855,,ball,12.0,"Albert Pujols grounds out, second baseman Kolten Wong to first baseman Paul Goldschmidt.",R,R,R,STL,LAA,B,,,0,0,2019,-1.21,6.6000000000000005,1.08,4.67,,,,0,9,Top,,,425877,12.3338319250827,-144.587944793038,-0.875235429782229,-19.6327278323445,30.6407245543513,-24.5430852004497,3.22,1.59,,,,99.4,1817.0,6.1,566606,663855,425877,502671,543939,572761,657557,542303,664056,451594,54.37,,,,,,,,64,1,Sinker,4,2,2,4,2,4,2,4,Standard,Standard,246.0,0.0,0.037,0,0-0,-1.08,14.52,0
10,SI,2019-06-22,101.5,-2.17,6.53,"Hicks, Jordan",594777,663855,out,hit_into_play,2.0,Kole Calhoun flies out to left fielder Marcell Ozuna.,R,L,R,STL,LAA,X,7.0,fly_ball,3,1,2019,-1.18,11.28,0.27,2.84,,,,2,8,Top,62.77,121.5,425877,9.51029209503356,-147.39502205608,-7.20572099401388,-19.1437881605267,33.0320176961597,-17.133776096968,3.09,1.5,238.0,89.8,58.0,101.0,2091.0,6.0,566606,663855,425877,502671,543939,572761,657557,542303,664056,451594,54.49,0.013,0.02,0.0,1.0,0.0,0.0,3.0,59,5,Sinker,4,2,2,4,2,4,2,4,Standard,Standard,231.0,0.013,-0.172,1,3-1,-0.27,14.16,0
11,SL,2019-06-22,86.3,-2.54,6.31,"Hicks, Jordan",594777,663855,,ball,9.0,Kole Calhoun flies out to left fielder Marcell Ozuna.,R,L,R,STL,LAA,B,,,2,1,2019,1.02,-6.36,0.5,1.87,,,,2,8,Top,,,425877,5.14911441683091,-125.537841208273,-3.25695867109346,9.5776067474716,25.516614392501,-37.21667050453,2.98,1.42,,,,85.6,2594.0,5.9,566606,663855,425877,502671,543939,572761,657557,542303,664056,451594,54.64,,,,,,,,59,4,Slider,4,2,2,4,2,4,2,4,Standard,Standard,63.0,0.0,0.04,0,2-1,-0.5,-12.24,0
