,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,fielder_2,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,is_strike,pitch_count,plate_-x,pfx_-x,swing_miss
0,FF,2021-09-29,95.2,1.29,6.11,"Fried, Max",544369,608331,out,hit_into_play,5,Didi Gregorius pops out to third baseman Austin Riley.,R,L,L,ATL,PHI,X,5.0,popup,1,1,2021,0.11,103.68,-0.19,2.3,,,,2,7,Top,95.45,160.6,518595,-4.186734435625463,-138.49382409814675,-7.099701948665794,2.3750187074102445,30.30611725467353,-15.310606902617652,3.49,1.6,127.0,89.2,69.0,95.9,2109,6.7,632306,608331,518595,518692,645277,663586,621020,592696,594807,624585,53.81,0.009,0.009,0.0,1.0,0.0,0.0,3.0,52,3,4-Seam Fastball,3,2,2,3,2,3,2,3,Standard,Standard,159,0.02,-0.099,1,1-1,0.49,178.56,0
1,SL,2021-09-29,82.9,1.86,5.87,"Fried, Max",544369,608331,,ball,13,Didi Gregorius pops out to third baseman Austin Riley.,R,L,L,ATL,PHI,B,,,0,1,2021,-0.34,50.39999999999999,-1.13,1.67,,,,2,7,Top,,,518595,-6.190763172675129,-120.574782105481,-2.7710563358640616,-1.9980253761882292,24.639601846204677,-33.40926319496435,3.49,1.6,,,,82.7,2171,6.3,632306,608331,518595,518692,645277,663586,621020,592696,594807,624585,54.17,,,,,,,,52,2,Slider,3,2,2,3,2,3,2,3,Standard,Standard,295,0.0,0.014,0,0-1,-0.23,230.40000000000003,0
2,SL,2021-09-29,86.7,1.65,5.93,"Fried, Max",544369,608331,,called_strike,2,Didi Gregorius pops out to third baseman Austin Riley.,R,L,L,ATL,PHI,S,,,0,0,2021,-0.35,203.03999999999996,-0.26,3.28,,,,2,7,Top,,,518595,-3.8445106826431448,-126.28861682215756,0.5697884943812157,-2.988296568997375,25.288069132657803,-36.36224565053608,3.49,1.63,,,,86.8,2464,6.2,632306,608331,518595,518692,645277,663586,621020,592696,594807,624585,54.26,,,,,,,,52,1,Slider,3,2,2,3,2,3,2,3,Standard,Standard,287,0.0,-0.018,1,0-0,1.53,191.52,0
3,SL,2021-09-29,85.3,1.68,5.91,"Fried, Max",663837,608331,out,hit_into_play,8,"Matt Vierling grounds out sharply, shortstop Dansby Swanson to first baseman Freddie Freeman.",R,R,L,ATL,PHI,X,6.0,ground_ball,1,2,2021,-0.09,-30.240000000000002,-0.06,1.66,,,,1,7,Top,111.05,163.34,518595,-3.9222494406623176,-124.27902957376558,-3.0365322115727578,-0.1614555042560848,24.331684689307085,-35.43280928191305,3.49,1.6,18.0,108.9,-5.0,85.6,2451,6.3,632306,608331,518595,518692,645277,663586,621020,592696,594807,624585,54.15,0.449,0.428,0.0,1.0,0.0,0.0,2.0,51,4,Slider,3,2,2,3,2,3,2,3,Standard,Standard,288,0.031,-0.114,1,1-2,-0.23,-76.32000000000001,0
4,CH,2021-09-29,87.4,1.93,5.66,"Fried, Max",663837,608331,,ball,14,"Matt Vierling grounds out sharply, shortstop Dansby Swanson to first baseman Freddie Freeman.",R,R,L,ATL,PHI,B,,,0,2,2021,1.17,-1.44,1.98,0.55,,,,1,7,Top,,,518595,-2.317153389827965,-127.17107831194942,-6.9917251295269525,13.196216330132296,27.24014095166685,-26.572564205270563,3.54,1.7,,,,87.6,1267,6.5,632306,608331,518595,518692,645277,663586,621020,592696,594807,624585,53.98,,,,,,,,51,3,Changeup,3,2,2,3,2,3,2,3,Standard,Standard,130,0.0,0.013,0,0-2,-0.21,-30.240000000000002,0
5,CH,2021-09-29,84.1,2.07,5.58,"Fried, Max",663837,608331,,swinging_strike,14,"Matt Vierling grounds out sharply, shortstop Dansby Swanson to first baseman Freddie Freeman.",R,R,L,ATL,PHI,S,,,0,1,2021,1.25,0.0,1.23,1.1,,,,1,7,Top,,,518595,-4.451466630966392,-122.34429544590076,-4.416006968336731,13.38180600379076,25.331744498643985,-29.30348786496192,3.49,1.6,,,,84.5,1253,6.7,632306,608331,518595,518692,645277,663586,621020,592696,594807,624585,53.84,,,,,,,,51,2,Changeup,3,2,2,3,2,3,2,3,Standard,Standard,122,0.0,-0.035,1,0-1,-0.22,-59.04,1
6,CU,2021-09-29,74.5,1.68,6.18,"Fried, Max",663837,608331,,called_strike,7,"Matt Vierling grounds out sharply, shortstop Dansby Swanson to first baseman Freddie Freeman.",R,R,L,ATL,PHI,S,,,0,0,2021,-0.67,221.76,-0.61,1.92,,,,1,7,Top,,,518595,-3.5232605075231103,-108.314703623577,1.1937913435859775,-4.450881997428556,22.539789334098604,-44.139618288734376,3.64,1.6,,,,73.7,2717,6.2,632306,608331,518595,518692,645277,663586,621020,592696,594807,624585,54.32,,,,,,,,51,1,Curveball,3,2,2,3,2,3,2,3,Standard,Standard,327,0.0,-0.027,1,0-0,-0.93,110.88,0
7,FF,2021-09-29,93.5,1.41,6.04,"Fried, Max",457705,608331,out,hit_into_play,2,Andrew McCutchen flies out to center fielder Adam Duvall.,R,R,L,ATL,PHI,X,8.0,fly_ball,0,1,2021,-0.09,-67.67999999999999,-0.21,2.9,,,,0,7,Top,138.55,91.1,518595,-3.980722218691103,-136.0601121830572,-4.878747453996111,-0.2722910778200742,29.40156731630273,-17.3038228967466,3.32,1.51,272.0,92.0,50.0,94.0,2180,6.5,632306,608331,518595,518692,645277,663586,621020,592696,594807,624585,53.96,0.011,0.016,0.0,1.0,0.0,0.0,3.0,50,2,4-Seam Fastball,3,2,2,3,2,3,2,3,Standard,Standard,167,0.043,-0.203,1,0-1,-0.71,-79.2,0
8,SL,2021-09-29,86.1,1.9,5.98,"Fried, Max",457705,608331,,foul,5,Andrew McCutchen flies out to center fielder Adam Duvall.,R,R,L,ATL,PHI,S,,,0,0,2021,-0.36,-158.4,0.27,2.72,,,,0,7,Top,,,518595,-3.137363027380676,-125.41968442864209,-1.7043653412271014,-3.199466004459908,23.72507961621433,-31.278744095713343,3.32,1.51,229.0,77.6,41.0,86.3,2318,6.2,632306,608331,518595,518692,645277,663586,621020,592696,594807,624585,54.29,,,,,,,,50,1,Slider,3,2,2,3,2,3,2,3,Standard,Standard,252,0.0,-0.038,1,0-0,-0.93,-178.56,0
9,FF,2021-09-29,93.6,1.63,5.9,"Fried, Max",592663,608331,out,hit_into_play,4,J.T. Realmuto pops out to second baseman Ozzie Albies.,R,R,L,ATL,PHI,X,4.0,popup,1,2,2021,-0.01,260.64,-0.41,2.73,,,,2,6,Top,124.64,108.12,518595,-5.263278776469407,-136.18571152724655,-4.660577760568028,1.0455258241882972,28.990635988184067,-19.003138348653312,3.41,1.56,229.0,73.5,45.0,93.8,2108,6.4,632306,608331,518595,518692,645277,663586,621020,592696,594807,624585,54.14,0.211,0.216,0.0,1.0,0.0,0.0,3.0,46,4,4-Seam Fastball,3,2,2,3,2,3,2,3,Standard,Standard,158,0.017,-0.073,1,1-2,-0.58,79.2,0
