,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,des,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,fielder_2,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,post_away_score,post_home_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,Mx,Mz,phi,theta,is_strike,pitch_count,plate_-x,pfx_-x,spin_eff,true_spin,bauer_units,swing_miss
0,FF,2021-07-27,94.7,2.07,5.79,"Doolittle, Sean",519203,448281,out,hit_into_play,14,Anthony Rizzo flies out to center fielder Shogo Akiyama.,L,L,CHC,CIN,X,8.0,fly_ball,0,0,2021,0.59,19.32,0.0,1.33,664023.0,621550.0,592178.0,2,7,Bot,98.6,72.18,663886,-6.740615786916246,-137.5826577696457,-9.559681152263222,8.982808272793674,29.831751923434407,-9.76321881383017,3.49,1.6,321.0,89.1,34.0,94.9,2330.0,6.4,633160,54.07,0.037,0.054,0.0,1.0,0.0,0.0,3.0,60,1,4-Seam Fastball,2,5,5,2,Infield shift,Standard,151,-0.095,-0.806,,,,,1,0-0,-0.0,-7.08,,,24.604012671594507,0
1,FF,2021-07-27,95.3,2.09,5.83,"Doolittle, Sean",592178,448281,walk,ball,12,Kris Bryant walks.   Ian Happ to 3rd.    Patrick Wisdom to 2nd.,R,L,CHC,CIN,B,,,3,2,2021,0.49,19.919999999999998,1.33,4.11,,664023.0,621550.0,2,7,Bot,,,663886,-3.101205071664688,-138.76605699257843,-2.626793307656957,7.0360637304052585,31.895327781165957,-10.316986797693811,3.37,1.69,,,,95.2,2359.0,6.2,633160,54.26,,,0.7,1.0,0.0,0.0,,59,7,4-Seam Fastball,2,5,5,2,Standard,Standard,158,0.045,0.307,,,,,0,3-2,-1.33,-5.88,,,24.753410283315844,0
2,FF,2021-07-27,,1.92,5.77,"Doolittle, Sean",592178,448281,,foul,8,Kris Bryant walks.   Ian Happ to 3rd.    Patrick Wisdom to 2nd.,R,L,CHC,CIN,S,,,3,2,2021,0.48,18.6,-0.01,2.22,,664023.0,621550.0,2,7,Bot,,,663886,-6.04128470309328,-136.15009521552946,-6.856833615056122,7.235943692416162,29.53103442696457,-11.51336417159652,3.58,1.68,,,,,,,633160,54.12,,,,,,,,59,6,4-Seam Fastball,2,5,5,2,Standard,Standard,154,0.0,0.0,,,,,1,3-2,0.01,-5.76,,,,0
3,FF,2021-07-27,95.2,2.19,5.77,"Doolittle, Sean",592178,448281,,ball,12,Kris Bryant walks.   Ian Happ to 3rd.    Patrick Wisdom to 2nd.,R,L,CHC,CIN,B,,,2,2,2021,0.51,19.32,1.07,2.79,,664023.0,621550.0,2,7,Bot,,,663886,-4.071430303839083,-138.56643592372498,-5.796905277077679,7.463009526040039,30.628098263279632,-10.378903138795788,3.26,1.65,,,,95.3,2282.0,6.3,633160,54.2,,,,,,,,59,5,4-Seam Fastball,2,5,5,2,Standard,Standard,155,0.0,0.133,,,,,0,2-2,-1.07,-6.12,,,23.970588235294116,0
4,FF,2021-07-27,95.4,2.17,5.81,"Doolittle, Sean",592178,448281,,called_strike,8,Kris Bryant walks.   Ian Happ to 3rd.    Patrick Wisdom to 2nd.,R,L,CHC,CIN,S,,,2,1,2021,0.41,20.759999999999998,-0.16,1.76,,664023.0,621550.0,2,7,Bot,,,663886,-7.043078983034483,-138.55349647285868,-8.910095626706653,6.739473802320485,29.013036066384764,-8.09577917297545,3.31,1.72,,,,95.6,2378.0,6.4,633160,54.12,,,,,,,,59,4,4-Seam Fastball,2,5,5,2,Standard,Standard,154,0.0,-0.134,,,,,1,2-1,0.16,-4.92,,,24.92662473794549,0
5,FF,2021-07-27,94.9,2.06,5.93,"Doolittle, Sean",592178,448281,,ball,11,Kris Bryant walks.   Ian Happ to 3rd.    Patrick Wisdom to 2nd.,R,L,CHC,CIN,B,,,1,1,2021,0.39,20.4,-0.85,4.69,,664023.0,621550.0,2,7,Bot,,,663886,-8.466882287749613,-138.01039051938406,-1.417605625141677,6.785899198955356,29.371541040040483,-10.263916943195731,3.27,1.6,,,,94.9,2395.0,6.2,633160,54.3,,,,,,,,59,3,4-Seam Fastball,2,5,5,2,Standard,Standard,162,0.0,0.096,,,,,0,1-1,0.85,-4.68,,,25.23709167544784,0
6,FF,2021-07-27,95.8,1.97,6.01,"Doolittle, Sean",592178,448281,,ball,12,Kris Bryant walks.   Ian Happ to 3rd.    Patrick Wisdom to 2nd.,R,L,CHC,CIN,B,,,0,1,2021,0.39,19.919999999999998,0.65,5.1,,664023.0,621550.0,2,7,Bot,,,663886,-4.358060746737822,-139.48435048135377,-0.5494166388351438,6.086141987402862,31.75830340092276,-10.616611540938669,3.27,1.72,,,,95.6,2328.0,6.1,633160,54.36,,,,,,,,59,2,4-Seam Fastball,2,5,5,2,Standard,Standard,158,0.0,0.054,,,,,0,0-1,-0.65,-4.68,,,24.30062630480167,0
7,FF,2021-07-27,94.4,1.86,5.96,"Doolittle, Sean",592178,448281,,called_strike,3,Kris Bryant walks.   Ian Happ to 3rd.    Patrick Wisdom to 2nd.,R,L,CHC,CIN,S,,,0,0,2021,0.38,19.919999999999998,0.38,3.14,,664023.0,621550.0,2,7,Bot,,,663886,-4.6954339443298,-137.414908251084,-5.362593020746342,5.834997612726427,29.584185165865765,-10.128015344288242,3.3,1.66,,,,94.6,2305.0,6.3,633160,54.19,,,,,,,,59,1,4-Seam Fastball,2,5,5,2,Standard,Standard,161,0.0,-0.075,,,,,1,0-0,-0.38,-4.5600000000000005,,,24.41737288135593,0
8,FF,2021-07-27,94.8,2.02,5.96,"Doolittle, Sean",545350,448281,out,hit_into_play,1,Jake Marisnick pops out sharply to shortstop Kyle Farmer on the infield fly rule.,R,L,CHC,CIN,X,6.0,popup,0,0,2021,0.58,19.080000000000002,-0.29,2.98,,664023.0,621550.0,1,7,Bot,106.95,148.47,663886,-7.348428989397182,-137.8583150945977,-5.693049509668767,9.063960542330651,30.12179857389776,-10.747904804895883,3.55,1.63,139.0,101.0,69.0,95.0,2275.0,6.4,633160,54.12,0.003,0.003,0.0,1.0,0.0,0.0,3.0,58,1,4-Seam Fastball,2,5,5,2,Standard,Standard,158,-0.058,-0.473,,,,,1,0-0,0.29,-6.959999999999999,,,23.99789029535865,0
9,FF,2021-07-24,94.8,1.9,6.1,"Doolittle, Sean",602922,448281,out,hit_into_play,4,Jose Rondon pops out to shortstop Kyle Farmer.,R,L,CIN,STL,X,6.0,popup,3,2,2021,0.38,17.4,-0.6,2.21,657557.0,624641.0,668800.0,2,8,Top,100.89,128.52,571466,-7.359155752063722,-137.7664630861882,-7.748033593200769,6.373165746710233,29.284503913406105,-12.08864208619064,3.41,1.56,190.0,81.2,58.0,94.8,2155.0,6.3,633175,54.21,0.02,0.02,0.0,1.0,0.0,0.0,3.0,68,6,4-Seam Fastball,5,3,3,5,Standard,Standard,161,0.129,-0.955,,,,,1,3-2,0.6,-4.5600000000000005,,,22.732067510548525,0
10,FF,2021-07-24,94.4,1.73,6.12,"Doolittle, Sean",602922,448281,,ball,13,Jose Rondon pops out to shortstop Kyle Farmer.,R,L,CIN,STL,B,,,2,2,2021,0.42,16.68,-0.3,1.42,657557.0,624641.0,668800.0,2,8,Top,,,571466,-6.1983920753288535,-137.1280954332992,-9.626663175604818,6.64194814782208,27.936515282692767,-12.701501568158092,3.41,1.59,,,,94.4,2127.0,6.2,633175,54.31,,,,,,,,68,5,4-Seam Fastball,5,3,3,5,Standard,Standard,160,0.0,0.334,,,,,0,2-2,0.3,-5.04,,,22.531779661016948,0
11,FF,2021-07-24,95.9,1.69,6.15,"Doolittle, Sean",602922,448281,,ball,11,Jose Rondon pops out to shortstop Kyle Farmer.,R,L,CIN,STL,B,,,1,2,2021,0.36,16.799999999999997,-0.4,4.28,657557.0,624641.0,668800.0,2,8,Top,,,571466,-6.301197015524235,-139.6046972296759,-2.546932504692582,6.009313887462285,27.855323604210596,-13.318202353214676,3.41,1.7,,,,96.1,2105.0,6.1,633175,54.37,,,,,,,,68,4,4-Seam Fastball,5,3,3,5,Standard,Standard,164,0.0,0.095,,,,,0,1-2,0.4,-4.32,,,21.94994786235662,0
12,FF,2021-07-24,93.8,1.84,6.11,"Doolittle, Sean",602922,448281,,foul,1,Jose Rondon pops out to shortstop Kyle Farmer.,R,L,CIN,STL,S,,,1,1,2021,0.5,19.56,-0.64,3.29,657557.0,624641.0,668800.0,2,8,Top,,,571466,-7.500173451542004,-136.37435651901794,-5.174618674856804,7.944181963124601,30.09576348219319,-10.811611431627806,3.41,1.56,,,,93.7,2288.0,6.3,633175,54.21,,,,,,,,68,3,4-Seam Fastball,5,3,3,5,Standard,Standard,161,0.0,-0.21,,,,,1,1-1,0.64,-6.0,,,24.392324093816633,0
